,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.94,0.46,0.27,0.29,0.21,0.15,0.18,0.15,0.19,0.18,0.14,0.06,0.14,0.09,0.11,0.08
e_1,0.3,0.94,0.27,0.3,0.18,0.15,0.21,0.16,0.17,0.3,0.19,0.18,0.16,0.15,0.13,0.05
d_1,0.34,0.28,0.94,0.24,0.21,0.19,0.22,0.16,0.31,0.09,0.17,0.18,0.18,0.13,0.13,0.11
c_1,0.31,0.29,0.3,0.93,0.41,0.17,0.2,0.17,0.08,0.16,0.15,0.18,0.18,0.14,0.13,0.12
b_1,0.34,0.4,0.36,0.25,0.93,0.33,0.17,0.19,0.15,0.17,0.1,0.16,0.18,0.13,0.17,0.11
a_1,0.31,0.4,0.42,0.3,0.24,0.93,0.24,0.14,0.18,0.19,0.24,0.19,0.24,0.11,0.18,0.16
h_1,0.72,0.49,0.5,0.5,0.46,0.33,0.72,0.39,0.31,0.35,0.33,0.3,0.21,0.19,0.32,0.21
g_1,0.68,0.51,0.74,0.55,0.41,0.38,0.36,0.72,0.31,0.29,0.38,0.36,0.27,0.26,0.13,0.27
c_0,0.66,0.65,0.52,0.38,0.5,0.43,0.51,0.37,0.62,0.28,0.6,0.37,0.33,0.24,0.34,0.28
d_0,0.6,0.5,0.29,1.0,0.45,0.4,0.41,0.32,0.38,0.61,0.32,0.33,0.29,0.21,0.3,0.24
b_0,0.77,0.6,0.61,0.64,0.33,0.25,0.48,0.35,0.31,0.41,0.63,0.3,0.33,0.54,0.35,0.23
f_0,0.48,0.52,0.66,0.55,0.59,0.41,0.45,0.38,0.42,0.42,0.42,0.63,0.36,0.29,0.27,0.48
h_0,1.03,0.63,0.69,0.59,0.44,0.36,0.27,0.4,0.41,0.42,0.42,0.36,0.2,0.31,0.44,0.26
a_0,0.91,0.53,0.69,0.65,0.58,,0.58,0.38,0.42,0.49,0.27,0.4,0.4,0.61,0.37,0.35
g_0,0.67,0.61,1.03,0.71,0.42,0.48,0.4,0.28,0.41,0.39,0.41,0.53,0.33,0.31,0.22,0.25
e_0,0.87,0.5,0.62,0.67,0.69,0.46,0.46,0.37,0.42,0.46,0.46,0.34,0.45,0.34,0.4,0.61
