,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.68,0.87,0.8,1.02,0.73,0.68,0.97,0.88,0.87,1.51,0.95,0.94,0.99,0.92,0.79,1.04
f_1,1.27,1.77,0.71,0.82,0.71,0.74,0.89,0.79,0.82,0.95,0.92,0.65,0.95,0.92,0.65,0.85
d_1,0.79,0.83,1.91,0.61,0.74,0.79,1.04,1.66,1.0,0.75,1.14,1.04,1.06,1.11,1.15,1.06
c_1,0.78,0.76,0.83,2.1,1.36,0.82,0.85,0.64,0.94,0.85,0.82,1.0,0.92,0.78,0.93,0.94
b_1,0.71,0.83,0.85,0.88,2.29,1.49,0.91,0.85,0.97,0.86,0.68,0.95,0.99,0.73,0.9,0.94
a_1,0.82,0.84,0.85,0.79,0.76,2.74,1.12,0.93,1.12,0.83,1.02,1.15,1.08,0.85,1.19,0.97
h_1,0.78,1.14,0.95,0.78,0.83,0.71,1.76,1.0,1.19,0.96,1.03,1.11,0.8,1.12,1.16,1.35
c_0,0.83,0.97,0.97,0.72,0.74,0.78,1.16,1.52,1.18,1.1,1.88,1.15,1.19,1.41,1.17,1.17
g_1,0.75,0.81,1.31,0.72,0.92,0.89,0.95,1.15,2.06,0.87,1.03,1.32,0.97,1.13,1.12,0.77
d_0,0.83,0.89,0.67,1.43,0.99,0.76,0.96,0.75,1.05,1.33,1.04,1.06,1.06,1.02,1.02,1.08
b_0,0.94,0.96,0.99,0.9,0.71,0.51,1.07,1.05,1.01,0.97,1.6,1.11,1.03,2.1,1.16,1.1
f_0,0.69,0.72,0.94,0.98,0.95,0.91,1.12,1.1,1.09,1.16,1.1,1.72,1.08,1.24,2.13,1.11
h_0,0.91,1.08,0.9,0.83,0.87,0.78,0.71,0.95,1.23,1.02,1.11,0.94,0.83,1.07,1.04,1.23
a_0,0.84,0.98,1.02,0.97,0.91,0.44,1.11,1.13,1.09,1.05,0.99,1.1,1.17,1.99,1.07,1.02
e_0,0.74,1.14,0.81,0.86,0.86,0.9,1.14,1.14,1.04,1.0,1.14,1.15,1.13,1.2,2.09,1.17
g_0,0.74,0.82,1.23,0.91,0.84,0.76,0.99,1.08,0.88,0.93,1.17,1.57,1.01,1.08,1.16,0.82
