,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.06,2.38,2.1,1.88,1.97,1.78,0.86,0.79,0.57,1.2,0.77,0.57,0.48,0.53,0.36,0.64
f_1,2.31,1.06,2.53,2.26,2.05,1.58,0.71,0.64,0.88,0.7,0.58,0.71,0.4,0.57,0.54,0.46
e_1,2.59,1.48,1.06,2.44,2.44,2.16,0.88,0.73,0.92,0.82,0.75,0.84,0.56,0.65,0.61,0.93
c_1,3.27,2.84,2.29,1.06,3.37,2.06,0.8,0.85,0.83,0.47,0.59,0.63,0.59,0.66,0.58,0.68
b_1,2.76,3.46,2.6,1.56,1.06,3.51,1.33,0.92,1.15,0.75,1.42,0.84,0.69,0.76,0.68,0.73
a_1,3.98,4.03,3.48,4.06,1.85,1.07,1.63,1.23,1.42,1.12,1.16,1.26,1.07,1.47,0.98,0.83
h_1,5.08,6.03,6.32,7.41,5.08,4.89,1.34,1.72,2.47,1.83,1.62,1.8,1.7,1.29,1.37,1.24
c_0,4.36,7.55,7.44,10.64,5.88,5.89,2.67,1.52,2.85,2.61,2.67,1.94,1.73,2.14,1.57,1.68
g_1,7.1,8.33,7.23,7.46,6.44,5.3,1.78,1.86,1.35,2.02,1.81,1.88,1.36,1.89,1.6,1.39
d_0,8.42,6.79,4.55,8.07,8.18,6.15,2.98,2.15,3.34,1.54,2.4,1.92,1.6,2.14,1.64,1.66
b_0,6.33,7.93,7.03,11.52,9.03,5.99,3.31,1.45,3.14,2.29,1.54,2.62,2.0,2.45,1.66,2.07
f_0,8.11,13.77,7.01,9.59,7.41,6.37,2.96,2.49,2.32,2.7,2.17,1.55,2.04,2.55,1.27,2.57
h_0,9.01,10.19,8.67,9.45,9.03,6.75,4.44,2.85,3.53,2.86,2.55,2.6,2.81,2.2,2.31,2.12
a_0,9.29,12.72,9.87,12.33,11.01,10.87,3.91,2.49,3.94,4.03,1.72,2.62,2.41,1.59,2.19,2.56
g_0,11.02,11.31,11.11,11.41,9.55,7.85,3.43,3.08,4.16,3.48,2.9,3.36,1.99,2.43,2.85,3.01
e_0,9.17,14.3,17.43,9.52,9.76,11.59,4.5,3.47,3.91,4.29,2.9,1.78,2.56,2.77,1.95,1.66
