,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.1,2.66,3.28,2.73,2.84,2.8,0.6,0.62,0.96,0.59,0.61,0.88,0.33,0.57,0.61,0.42
e_1,1.84,1.1,3.47,3.47,3.27,2.82,0.85,0.71,1.09,0.73,0.65,0.78,0.45,0.64,1.17,0.57
c_1,3.55,2.67,1.1,3.99,3.18,3.08,0.94,0.44,0.88,0.91,0.68,0.62,0.52,0.58,0.64,0.45
d_1,3.6,4.36,3.77,1.09,3.72,2.63,0.84,1.1,0.53,0.6,0.67,0.57,0.4,0.61,0.54,0.31
b_1,4.5,3.67,1.99,4.59,1.11,4.21,1.41,0.83,1.19,1.19,1.68,0.9,0.57,0.81,0.74,0.59
a_1,7.08,5.65,5.41,6.28,2.89,1.13,2.2,1.34,1.83,1.26,2.34,1.29,0.98,2.13,1.18,0.8
h_1,11.38,11.62,11.78,12.54,11.55,11.15,1.62,2.6,3.54,2.55,2.39,2.6,2.32,2.1,2.34,1.81
d_0,12.01,8.26,14.26,17.17,13.83,12.23,4.36,1.94,4.23,2.8,2.8,2.7,2.19,2.84,2.72,2.42
g_1,17.9,15.59,16.14,14.08,15.9,11.63,3.49,3.45,1.69,3.18,3.1,2.84,1.93,2.8,2.95,2.97
c_0,16.76,16.75,29.28,8.28,17.54,14.27,4.48,4.66,3.66,1.96,3.05,3.48,2.64,3.16,2.99,2.56
b_0,16.17,17.83,24.15,12.45,29.06,17.28,4.98,3.71,4.63,2.04,1.88,3.88,3.06,3.11,2.99,2.7
f_0,25.43,19.37,20.05,20.99,15.06,16.97,5.27,4.69,3.05,4.11,3.78,2.1,2.69,3.14,3.48,1.85
h_0,20.37,23.54,21.91,20.07,21.8,16.53,7.33,5.28,6.67,4.03,4.45,3.8,4.35,4.14,3.91,3.03
a_0,23.63,24.67,21.91,22.45,29.97,34.89,6.45,5.4,7.83,4.46,2.6,5.26,3.44,2.33,4.79,2.97
e_0,34.14,30.79,22.51,22.77,23.39,23.85,7.2,5.25,4.99,4.8,4.88,2.42,3.47,4.09,2.13,3.35
g_0,28.15,27.5,29.28,27.68,27.93,24.47,5.45,6.01,9.91,5.62,5.36,5.26,2.9,5.33,4.97,4.64
