,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.96,0.54,0.77,0.55,0.56,0.43,0.44,0.61,0.41,0.38,0.37,0.39,0.33,0.3,0.27,0.32
f_1,0.93,0.96,0.59,0.63,0.46,0.42,0.39,0.39,0.38,0.38,0.35,0.25,0.31,0.29,0.19,0.32
c_1,0.54,0.63,0.96,0.63,0.89,0.45,0.39,0.35,0.31,0.33,0.24,0.35,0.33,0.27,0.26,0.32
d_1,0.67,0.65,0.56,0.96,0.58,0.42,0.41,0.34,0.57,0.34,0.42,0.36,0.35,0.26,0.29,0.28
b_1,0.66,0.76,0.54,0.68,0.95,0.78,0.48,0.4,0.49,0.38,0.33,0.36,0.36,0.22,0.27,0.33
a_1,0.75,0.77,0.75,0.74,0.46,0.95,0.54,0.49,0.42,0.44,0.43,0.44,0.44,0.25,0.35,0.35
h_1,0.92,1.1,0.96,0.92,0.76,0.56,0.82,0.55,0.53,0.65,0.49,0.49,0.45,0.4,0.42,0.54
d_0,0.85,0.9,1.4,0.82,0.92,0.65,0.64,0.76,0.48,0.54,0.53,0.54,0.57,0.41,0.44,0.52
c_0,1.01,1.08,0.98,0.93,0.67,0.7,0.71,0.7,0.74,0.54,0.85,0.51,0.59,0.54,0.48,0.5
g_1,0.95,0.85,0.98,1.32,0.79,0.65,0.58,0.58,0.62,0.79,0.55,0.72,0.5,0.4,0.44,0.42
b_0,0.98,1.04,1.28,1.0,0.82,0.57,0.72,0.66,0.55,0.6,0.74,0.53,0.6,0.72,0.43,0.52
f_0,0.89,1.04,1.16,1.01,1.01,0.71,0.74,0.68,0.66,0.54,0.61,0.75,0.63,0.46,0.75,0.46
h_0,1.09,1.38,1.15,1.13,0.98,0.68,0.66,0.65,0.63,0.7,0.62,0.58,0.57,0.5,0.46,0.65
a_0,1.11,1.27,1.11,1.22,1.09,0.72,0.83,0.7,0.66,0.7,0.58,0.64,0.71,0.68,0.47,0.56
e_0,1.01,1.35,1.11,1.11,0.98,0.81,0.83,0.67,0.67,0.66,0.68,0.54,0.64,0.59,0.68,0.58
g_0,1.03,1.11,1.07,1.42,1.02,0.75,0.75,0.63,0.71,0.71,0.65,0.84,0.57,0.55,0.58,0.54
