,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,92.33,46.77,60.07,108.23,166.94,429.41,6872.87,31622.97,21118.37,25392.63,41510.62,38174.43,90052.24,128137.92,150280.7,122491.49
f_1,69.66,94.87,63.55,84.59,178.65,338.66,6879.72,16023.99,20464.46,27566.68,29326.03,19493.23,71912.57,94255.71,122262.24,85282.54
d_1,45.06,49.15,128.64,58.06,155.13,329.45,6250.8,11062.11,14397.76,37940.94,33423.48,31638.08,70261.68,98801.82,122493.1,131272.66
c_1,33.91,41.17,64.68,151.7,254.93,293.4,5681.41,11416.69,16553.63,12791.71,23635.98,25349.0,53097.57,78012.08,86935.28,107309.96
b_1,28.87,29.8,50.04,45.24,285.77,467.0,4478.74,9508.78,12571.93,14503.15,13871.48,24978.24,42517.31,77868.09,82496.42,99122.61
a_1,22.8,26.62,38.46,46.56,66.76,533.38,3758.92,8976.1,9605.57,14723.65,19714.49,19312.54,24783.27,59170.1,98598.4,69446.88
h_1,12.28,16.17,19.82,21.51,48.89,91.14,2764.96,4183.15,5822.13,6527.54,8250.08,8509.85,18744.73,22518.76,40306.64,35708.11
d_0,7.07,10.45,11.11,29.75,42.24,75.97,1405.32,4765.7,4086.48,3782.02,7048.54,6791.77,15511.63,20813.3,28161.23,26762.62
g_1,7.72,6.94,19.61,16.33,31.44,66.73,1199.66,2773.42,6400.35,5461.2,6798.07,9712.79,15152.01,15467.99,22961.5,28216.38
c_0,9.59,8.46,10.43,14.64,28.26,69.95,1233.0,4009.91,3127.64,6536.16,9664.99,6722.51,14173.6,22537.03,31456.97,22277.11
b_0,7.13,9.61,11.5,16.7,21.06,43.4,1185.57,3094.57,3097.99,3538.45,8128.43,5714.04,22521.72,16276.97,23184.38,22406.24
f_0,6.5,6.63,12.59,15.82,30.04,61.68,1213.85,2927.35,2804.77,4131.42,5886.88,8491.86,14261.37,19174.88,22703.93,41097.19
a_0,5.25,6.54,10.07,14.03,25.53,31.31,918.34,2395.28,2294.08,2932.19,3568.18,4050.6,15552.06,13710.15,15920.98,18663.23
h_0,5.15,7.53,8.52,10.52,17.92,46.26,703.99,2262.6,3072.05,2638.91,4017.98,3815.58,9607.24,9888.52,20748.13,13878.1
g_0,4.72,5.16,10.83,10.63,18.87,31.78,768.94,1804.34,1477.68,2421.76,4025.68,4982.81,9839.51,11164.95,12752.14,13927.04
e_0,3.29,6.8,7.96,9.72,21.55,38.05,748.69,1817.34,2015.99,2831.91,3679.11,3071.48,7998.69,12515.43,14885.58,22596.75
