,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.47,1.26,1.5,1.84,3.0,16.86,33.36,29.06,31.71,36.05,56.81,62.12,78.31,124.54,102.15
e_1,0.68,1.0,1.21,1.51,1.95,3.67,19.04,29.53,44.72,37.88,41.94,62.71,64.43,91.56,130.79,134.73
d_1,0.8,0.82,1.0,1.14,1.54,2.52,17.01,19.94,23.45,36.32,33.92,40.6,58.06,69.44,74.96,110.32
c_1,0.68,0.67,0.88,1.0,1.72,2.41,14.42,19.49,14.58,23.55,21.24,38.92,47.8,68.48,78.52,85.29
b_1,0.54,0.51,0.65,0.58,1.0,2.64,12.31,16.15,17.14,22.15,19.9,26.84,41.42,40.78,72.83,77.04
a_1,0.33,0.28,0.4,0.41,0.39,1.0,6.78,9.63,9.02,12.28,12.72,16.43,25.07,28.72,35.28,38.63
h_1,0.06,0.05,0.06,0.07,0.08,0.15,1.0,1.81,1.62,1.75,1.83,2.43,3.38,4.07,8.01,6.72
g_1,0.03,0.03,0.05,0.05,0.06,0.11,0.57,1.0,1.05,1.17,1.2,2.22,2.03,2.98,3.96,4.56
d_0,0.03,0.02,0.04,0.07,0.06,0.11,0.65,0.94,1.0,0.98,1.32,1.57,2.36,3.02,4.22,5.33
c_0,0.03,0.03,0.03,0.04,0.04,0.08,0.54,0.88,0.9,1.0,1.49,1.24,2.23,2.82,3.71,4.31
b_0,0.03,0.02,0.03,0.05,0.05,0.08,0.55,0.88,0.75,0.67,1.0,1.26,1.8,3.26,3.04,3.41
f_0,0.02,0.02,0.03,0.03,0.04,0.06,0.4,0.42,0.61,0.81,0.77,1.0,1.29,1.62,1.89,3.76
h_0,0.02,0.02,0.02,0.02,0.02,0.04,0.29,0.51,0.42,0.45,0.55,0.73,1.0,1.17,2.04,1.59
a_0,0.01,0.01,0.01,0.02,0.02,0.04,0.24,0.33,0.35,0.34,0.32,0.6,0.81,1.0,1.36,1.52
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.12,0.26,0.26,0.27,0.33,0.55,0.49,0.75,1.0,1.11
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.15,0.24,0.21,0.24,0.3,0.26,0.63,0.68,0.91,1.0
