,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.08,2.69,2.98,2.34,2.33,2.14,0.65,0.74,0.47,0.43,0.48,0.42,0.31,0.48,0.45,0.21
f_1,2.2,1.09,2.42,2.53,2.34,1.98,0.51,0.62,0.47,0.78,0.51,0.61,0.28,0.49,0.46,0.38
e_1,2.7,1.59,1.09,2.87,2.88,2.38,0.67,0.61,0.55,0.9,0.57,0.65,0.43,0.54,0.63,0.48
c_1,3.62,2.61,2.14,1.09,2.49,2.29,0.8,0.34,0.69,0.72,0.55,0.55,0.38,0.5,0.54,0.4
b_1,3.29,3.48,2.88,1.9,1.11,3.49,0.94,0.55,0.86,0.85,0.93,0.6,0.46,0.6,0.55,0.4
a_1,4.08,4.74,4.52,4.21,2.17,1.12,1.14,0.85,1.01,1.27,1.29,1.12,0.65,1.48,0.88,0.65
h_1,9.11,9.25,9.47,9.62,8.66,8.4,1.54,2.01,1.85,2.73,1.82,2.0,1.61,1.53,1.81,1.56
d_0,15.95,9.82,6.98,12.04,11.11,11.55,3.94,1.81,2.53,3.99,2.79,3.15,1.89,2.25,2.53,2.43
c_0,7.47,12.54,12.5,15.25,13.09,12.02,3.67,3.27,1.74,3.22,2.46,2.24,1.87,2.2,2.13,1.58
g_1,11.64,11.79,11.24,12.91,11.82,10.99,2.87,2.68,2.29,1.56,2.37,2.36,1.2,2.01,2.08,1.88
b_0,10.59,13.82,13.35,18.73,16.03,12.16,3.77,2.95,1.66,3.38,1.73,2.54,1.92,2.2,2.72,1.75
f_0,13.56,18.35,15.51,14.69,13.94,13.51,3.72,3.3,2.63,2.64,3.0,1.81,2.07,2.77,2.46,1.45
h_0,18.27,18.45,17.01,17.4,16.8,14.87,6.24,3.65,3.35,4.59,3.3,3.59,2.79,3.17,2.98,2.64
a_0,17.03,21.1,18.02,19.89,25.35,26.16,6.29,3.96,3.09,6.5,2.48,4.02,2.49,1.98,3.84,2.7
e_0,19.06,28.65,25.2,20.66,18.47,18.79,5.89,4.99,4.45,4.69,4.42,2.18,2.79,3.82,2.08,2.41
g_0,24.66,24.47,23.43,26.68,22.31,22.71,5.57,5.06,4.84,7.88,5.03,4.65,2.64,4.27,3.72,3.98
