,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.71,0.98,0.99,0.81,0.9,0.72,0.85,0.63,0.69,0.67,0.64,0.61,0.62,,0.61
f_1,1.41,1.0,1.09,0.64,1.18,0.77,0.6,0.8,0.61,0.74,0.65,,0.6,0.53,,
c_1,1.02,0.92,1.0,1.1,1.38,0.79,0.89,0.46,,0.79,0.71,0.47,0.6,0.55,0.63,0.6
d_1,1.01,1.56,0.91,1.0,0.9,0.76,0.68,,0.93,0.53,0.62,0.67,0.56,0.69,,0.44
b_1,1.23,0.85,0.72,1.11,1.0,1.33,0.81,0.82,0.72,0.64,,0.79,0.65,0.57,,0.51
a_1,1.11,1.29,1.26,1.32,0.75,1.0,0.77,0.7,0.71,0.8,0.69,0.91,,0.82,,0.64
h_1,1.39,1.66,1.13,1.46,1.23,1.31,1.0,0.79,1.07,1.1,0.77,0.93,0.77,,0.74,1.01
d_0,1.17,1.25,2.19,,1.23,1.43,1.27,1.0,1.05,0.88,0.98,0.83,0.78,1.1,0.7,0.82
c_0,1.6,1.65,,1.07,1.39,1.4,0.93,0.95,1.0,1.03,1.25,0.96,0.92,0.85,0.89,0.87
g_1,1.46,1.35,1.27,1.88,1.55,1.25,0.91,1.14,0.97,1.0,0.99,1.15,0.64,0.92,0.78,
b_0,1.5,1.53,1.4,1.61,,1.45,1.3,1.03,0.8,1.01,1.0,0.96,1.22,0.83,1.06,0.91
f_0,1.57,,2.12,1.49,1.26,1.1,1.08,1.2,1.04,0.87,1.04,1.0,0.98,0.81,1.29,0.73
a_0,1.64,1.67,1.68,1.8,1.53,,1.31,1.28,1.09,1.55,0.82,1.02,1.0,0.92,,
h_0,1.6,1.87,1.83,1.45,1.76,1.22,,0.91,1.18,1.08,1.2,1.23,1.09,,0.91,1.05
e_0,,,1.6,,,,1.35,1.43,1.13,1.28,0.95,0.78,,1.1,1.0,1.03
g_0,1.63,,1.66,2.28,1.96,1.56,0.99,1.22,1.15,,1.1,1.38,,0.95,0.97,
