,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.77,1.18,1.29,1.31,3.65,18.9,31.22,26.31,30.19,39.15,42.62,77.42,84.41,,138.18
f_1,1.3,1.0,1.21,0.77,1.75,2.89,14.62,27.02,23.49,30.06,35.24,,70.39,66.51,,
c_1,0.85,0.82,1.0,1.19,1.84,2.67,19.36,13.88,,28.71,34.7,26.19,62.89,61.27,105.31,113.07
d_1,0.78,1.29,0.84,1.0,1.11,2.35,13.75,,30.02,17.94,27.87,34.33,54.19,71.29,,75.79
b_1,0.77,0.57,0.54,0.9,1.0,3.37,13.32,18.62,18.79,17.64,,33.13,51.72,47.89,,71.8
a_1,0.27,0.35,0.38,0.43,0.3,1.0,4.97,6.33,7.38,8.7,9.95,15.04,,27.35,,35.63
h_1,0.05,0.07,0.05,0.07,0.08,0.2,1.0,1.1,1.71,1.84,1.72,2.36,3.7,,5.71,8.68
d_0,0.03,0.04,0.07,,0.05,0.16,0.91,1.0,1.21,1.05,1.56,1.52,2.71,4.07,3.88,5.03
c_0,0.04,0.04,,0.03,0.05,0.14,0.58,0.83,1.0,1.08,1.74,1.54,2.79,2.73,4.27,4.67
g_1,0.03,0.03,0.03,0.06,0.06,0.11,0.54,0.95,0.93,1.0,1.31,1.75,1.86,2.84,3.6,
b_0,0.03,0.03,0.03,0.04,,0.1,0.58,0.64,0.57,0.76,1.0,1.1,2.66,1.92,3.65,3.51
f_0,0.02,,0.04,0.03,0.03,0.07,0.42,0.66,0.65,0.57,0.91,1.0,1.86,1.63,3.89,2.45
a_0,0.01,0.01,0.02,0.02,0.02,,0.27,0.37,0.36,0.54,0.38,0.54,1.0,0.97,,
h_0,0.01,0.02,0.02,0.01,0.02,0.04,,0.25,0.37,0.35,0.52,0.61,1.03,,1.36,1.75
e_0,,,0.01,,,,0.18,0.26,0.23,0.28,0.27,0.26,,0.73,1.0,1.15
g_0,0.01,,0.01,0.01,0.01,0.03,0.12,0.2,0.21,,0.28,0.41,,0.57,0.87,
