,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.43,1.07,0.98,1.15,1.3,1.08,0.25,0.24,0.22,0.41,0.22,0.35,0.13,0.22,0.25,0.2
e_1,0.67,0.43,1.26,1.18,1.33,1.3,0.34,0.25,0.24,0.35,0.23,0.31,0.17,0.25,0.43,0.19
d_1,1.26,1.46,0.4,1.43,1.2,1.04,0.29,0.43,0.23,0.19,0.23,0.21,0.15,0.19,0.22,0.1
c_1,1.22,0.98,1.47,0.41,1.28,1.17,0.35,0.15,0.42,0.34,0.25,0.24,0.18,0.22,0.23,0.19
b_1,1.36,1.34,1.4,0.74,0.4,1.18,0.45,0.27,0.33,0.42,0.52,0.26,0.2,0.27,0.22,0.19
a_1,1.93,1.72,1.57,1.57,0.73,0.33,0.55,0.42,0.33,0.52,0.43,0.35,0.23,0.75,0.35,0.25
h_1,2.68,2.02,2.39,2.22,1.97,1.72,0.3,0.45,0.46,0.61,0.5,0.43,0.4,0.42,0.45,0.29
d_0,2.15,1.44,4.01,3.05,2.37,1.98,0.73,0.34,0.59,0.69,0.58,0.56,0.38,0.46,0.55,0.37
c_0,2.54,2.99,1.29,3.43,2.72,2.15,0.7,1.01,0.32,0.7,0.57,0.46,0.33,0.47,0.42,0.33
g_1,2.9,2.66,2.72,2.64,2.46,2.24,0.55,0.57,0.53,0.27,0.51,0.52,0.3,0.46,0.53,0.4
b_0,2.84,2.42,1.93,4.22,3.85,2.3,0.69,0.6,0.29,0.77,0.29,0.46,0.37,0.44,0.47,0.38
f_0,4.57,2.7,2.47,3.01,2.83,2.13,0.77,0.68,0.63,0.5,0.53,0.29,0.37,0.43,0.52,0.22
h_0,3.1,2.95,2.52,3.64,2.82,2.36,1.3,0.75,0.59,0.77,0.64,0.63,0.72,0.58,0.5,0.44
a_0,3.24,2.58,2.9,3.65,4.51,5.7,1.0,0.74,0.63,0.89,0.34,0.69,0.51,0.29,0.68,0.44
e_0,5.76,3.99,2.74,3.08,3.46,2.4,0.87,0.79,0.59,0.69,0.6,0.31,0.49,0.66,0.27,0.44
g_0,4.08,3.28,3.08,3.64,3.3,2.5,0.69,0.86,0.68,1.2,0.71,0.71,0.38,0.61,0.76,0.64
