,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.16,0.41,0.39,0.51,0.45,0.38,0.1,0.09,0.1,0.16,0.1,0.12,0.08,0.05,0.08,0.07
e_1,0.25,0.16,0.5,0.52,0.5,0.53,0.13,0.1,0.1,0.16,0.1,0.13,0.09,0.07,0.16,0.07
d_1,0.53,0.5,0.14,0.47,0.44,0.4,0.13,0.08,0.14,0.08,0.08,0.09,0.08,0.06,0.1,0.04
c_1,0.51,0.37,0.57,0.14,0.43,0.41,0.13,0.14,0.05,0.12,0.09,0.09,0.09,0.06,0.08,0.06
b_1,0.47,0.47,0.5,0.25,0.13,0.49,0.16,0.13,0.09,0.15,0.19,0.09,0.11,0.08,0.09,0.08
a_1,0.49,0.51,0.53,0.51,0.23,0.1,0.16,0.1,0.11,0.13,0.11,0.1,0.15,0.06,0.1,0.07
h_1,0.39,0.38,0.36,0.41,0.45,0.37,0.06,0.09,0.1,0.1,0.08,0.08,0.07,0.09,0.07,0.05
c_0,0.41,0.47,0.22,0.61,0.47,0.4,0.11,0.05,0.13,0.11,0.09,0.08,0.08,0.06,0.08,0.05
d_0,0.37,0.23,0.67,0.44,0.51,0.41,0.12,0.1,0.06,0.14,0.09,0.09,0.09,0.06,0.09,0.07
g_1,0.42,0.4,0.43,0.46,0.4,0.35,0.09,0.08,0.1,0.05,0.07,0.08,0.08,0.04,0.07,0.08
b_0,0.35,0.39,0.33,0.61,0.55,0.37,0.1,0.05,0.11,0.11,0.05,0.09,0.07,0.06,0.07,0.06
f_0,0.62,0.38,0.36,0.39,0.4,0.38,0.11,0.09,0.09,0.07,0.08,0.05,0.09,0.06,0.08,0.04
a_0,0.4,0.4,0.33,0.39,0.52,0.45,0.1,0.07,0.1,0.11,0.05,0.1,0.04,0.06,0.09,0.06
h_0,0.42,0.37,0.38,0.41,0.36,0.37,0.14,0.08,0.09,0.12,0.08,0.08,0.07,0.08,0.06,0.06
e_0,0.64,0.56,0.33,0.38,0.35,0.35,0.11,0.08,0.1,0.09,0.09,0.04,0.09,0.05,0.04,0.04
g_0,0.49,0.38,0.34,0.53,0.34,0.34,0.09,0.07,0.09,0.13,0.08,0.07,0.07,0.04,0.07,0.08
