,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,12.48,1.66,0.55,0.61,0.51,0.51,1.01,0.91,0.73,0.82,1.02,0.63,0.99,0.86,0.57,0.96
e_1,0.71,12.86,0.89,0.47,0.69,0.67,0.87,2.15,0.86,0.9,0.95,0.93,0.86,0.89,0.7,1.0
c_1,0.54,0.5,14.0,0.56,1.81,0.72,0.92,0.83,0.83,0.38,0.57,0.91,0.93,1.07,1.05,0.88
d_1,0.8,0.52,0.49,17.47,0.53,0.6,0.86,0.58,1.02,2.7,1.43,0.9,1.09,1.08,1.08,1.02
b_1,0.64,0.55,0.65,0.59,16.1,1.67,0.92,0.84,0.85,0.75,0.49,1.12,0.94,0.76,0.97,0.87
a_1,0.64,0.66,0.71,0.89,0.54,23.22,0.94,0.88,1.24,0.94,0.85,1.07,1.1,0.5,0.97,0.78
h_1,1.31,0.72,0.73,0.88,0.52,0.52,3.9,0.81,1.31,1.0,1.05,0.94,0.77,1.05,1.02,1.69
d_0,0.77,0.65,2.12,0.46,0.76,0.74,1.05,2.14,1.0,0.7,1.17,0.89,0.88,1.04,1.19,1.08
g_1,0.57,0.55,0.85,1.81,0.61,0.63,0.91,0.77,4.73,1.11,1.1,2.25,0.93,0.94,1.45,0.8
c_0,0.84,0.67,0.61,1.01,0.47,0.71,1.08,1.18,1.27,2.73,3.45,1.1,1.51,1.65,1.2,1.26
b_0,0.88,0.83,0.86,0.9,0.37,0.43,1.26,1.12,1.39,1.31,3.64,1.35,1.35,3.46,1.04,1.32
f_0,0.53,0.58,0.98,1.2,0.69,0.67,1.08,1.03,1.15,1.02,1.16,3.1,1.49,1.13,3.56,1.34
h_0,1.21,0.71,0.67,1.01,0.75,0.65,0.77,0.78,1.43,1.05,0.9,1.06,0.7,1.11,1.16,1.76
a_0,0.79,0.77,0.88,0.97,0.69,0.46,1.27,0.93,1.18,0.96,1.29,1.45,1.14,3.23,1.61,1.15
e_0,0.71,0.35,0.86,1.17,0.76,0.74,1.16,1.01,1.06,1.04,1.37,1.22,1.48,1.21,4.03,1.51
g_0,0.76,0.54,0.8,1.86,0.69,0.75,0.96,0.7,0.74,0.93,1.18,1.8,1.29,1.35,1.27,0.9
