,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.0,0.79,0.86,1.13,0.84,0.89,0.73,1.03,0.72,0.58,0.72,0.67,0.69,0.67,0.61,0.74
f_1,1.26,1.0,0.86,0.93,0.91,0.73,0.64,0.6,0.73,0.64,0.51,0.51,0.54,0.47,0.55,0.37
d_1,1.16,1.17,1.0,0.81,0.84,0.82,0.7,0.68,0.51,0.88,0.65,0.62,0.57,0.58,0.49,0.6
c_1,0.88,1.06,1.21,1.0,1.35,0.77,0.73,0.45,0.69,0.55,0.57,0.56,0.51,0.56,0.47,0.54
b_1,1.18,1.1,1.18,0.75,1.0,1.49,0.79,0.61,0.78,0.62,0.74,0.79,0.6,0.8,0.64,0.72
a_1,1.11,1.37,1.22,1.3,0.67,1.0,0.92,0.78,0.8,0.78,0.91,0.81,0.75,0.72,0.94,0.68
h_1,1.43,1.58,1.38,1.3,1.32,1.12,1.0,0.88,1.0,0.85,0.82,0.85,0.77,0.81,0.84,0.81
d_0,0.98,1.68,1.49,2.12,1.69,1.24,1.13,1.0,1.13,0.79,0.96,0.92,0.86,0.85,0.84,0.87
g_1,1.4,1.24,2.04,1.47,1.26,1.3,1.01,0.85,1.0,1.07,1.02,1.22,0.94,0.68,1.03,0.92
c_0,1.79,1.54,1.15,1.81,1.44,1.22,1.15,1.33,0.91,1.0,1.35,1.04,0.95,1.03,1.1,0.83
b_0,1.36,2.0,1.51,1.81,1.53,1.1,1.18,1.09,0.98,0.72,1.0,0.96,1.35,0.94,0.89,1.0
f_0,1.41,1.93,1.63,1.7,1.41,1.23,1.16,1.11,0.83,0.94,1.0,1.0,1.05,0.98,0.79,1.35
a_0,1.5,1.79,1.74,2.07,1.79,1.27,1.31,1.28,1.06,1.05,0.76,0.95,1.0,1.07,0.94,1.02
h_0,1.53,2.1,1.65,1.79,1.32,1.4,1.24,1.16,1.45,0.93,1.07,1.04,0.92,1.0,1.09,0.89
g_0,1.63,1.84,2.01,2.02,1.57,1.05,1.22,1.14,0.94,0.9,1.1,1.29,1.1,0.91,1.0,0.86
e_0,1.45,2.62,1.76,1.8,1.59,1.39,1.25,1.14,1.09,1.16,1.02,0.78,1.06,1.12,1.08,1.0
