,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.18,0.99,1.04,1.01,1.11,0.92,0.94,0.94,0.93,1.02,,0.74,1.18,1.0,1.39
e_1,0.85,1.0,0.85,1.1,0.98,1.0,1.0,1.12,0.82,1.28,0.95,1.07,1.01,0.85,,1.03
d_1,1.01,1.18,1.0,0.92,0.83,0.85,1.08,1.34,0.64,,1.15,1.03,1.01,0.92,1.03,0.98
c_1,0.96,0.91,1.09,1.0,1.91,0.95,1.01,,0.9,0.64,0.98,1.02,0.99,0.95,0.72,1.34
b_1,0.99,1.02,1.2,0.52,1.0,1.54,1.18,0.95,0.96,1.04,,0.85,1.38,1.08,0.95,0.9
a_1,0.9,1.0,1.18,1.06,0.65,1.0,0.96,1.07,0.9,1.0,0.96,1.25,1.3,,,1.03
h_1,1.09,1.0,0.93,0.99,0.85,1.04,1.0,0.94,1.38,0.78,1.0,0.98,,1.0,1.13,1.06
c_0,1.06,0.89,0.74,,1.05,0.93,1.06,1.0,0.9,1.17,1.38,1.0,1.1,1.0,1.08,0.84
g_1,1.06,1.21,1.57,1.11,1.04,1.11,0.73,1.11,1.0,0.76,0.86,1.18,0.6,0.95,,
d_0,1.07,0.78,,1.57,0.96,1.0,1.28,0.85,1.32,1.0,1.13,0.92,0.88,0.88,0.82,0.85
b_0,0.98,1.05,0.87,1.02,,1.04,1.0,0.73,1.16,0.88,1.0,0.95,1.49,1.69,0.89,0.85
f_0,,0.93,0.97,0.98,1.18,0.8,1.02,1.0,0.85,1.09,1.06,1.0,1.08,1.32,1.55,0.66
h_0,1.36,0.99,0.99,1.01,0.72,0.77,,0.91,1.66,1.13,0.67,0.93,,0.74,,1.09
a_0,0.85,1.18,1.08,1.05,0.92,,1.0,1.0,1.05,1.14,0.59,0.76,1.35,1.0,,1.22
e_0,1.0,,0.97,1.39,1.05,,0.88,0.93,,1.22,1.13,0.64,,,1.0,
g_0,0.72,0.97,1.02,0.75,1.11,0.97,0.94,1.19,,1.18,1.18,1.5,0.92,0.82,,
