,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,1.0,0.98,0.8,1.15,0.88,0.6,0.49,0.67,0.43,0.53,0.42,0.42,0.35,0.41,0.35,0.36
d_1,1.02,1.0,1.06,0.95,0.87,0.72,0.49,0.52,0.56,0.35,0.46,0.38,0.36,0.25,0.37,0.32
f_1,1.26,0.94,1.0,1.06,0.77,0.77,0.41,0.39,0.4,0.45,0.37,0.35,0.33,0.36,0.29,0.32
c_1,0.87,1.05,0.95,1.0,1.42,0.68,0.52,0.3,0.39,0.42,0.35,0.41,0.35,0.3,0.31,0.27
b_1,1.12,1.15,1.32,0.69,1.0,1.45,0.54,0.47,0.48,0.5,0.42,0.39,0.43,0.37,0.32,0.29
a_1,1.66,1.37,1.32,1.47,0.7,1.0,0.75,0.64,0.58,0.73,0.68,0.6,0.49,0.46,0.39,0.43
h_1,2.03,2.16,2.44,1.94,1.81,1.33,1.0,0.82,0.84,0.99,0.77,0.72,0.71,0.69,0.6,0.64
d_0,1.53,1.95,2.42,3.37,2.17,1.5,1.24,1.0,0.77,1.06,0.98,0.8,0.77,0.72,0.71,0.7
c_0,2.31,1.78,2.45,2.45,2.0,1.64,1.15,1.28,1.0,0.96,1.27,0.95,0.82,0.78,0.81,0.74
g_1,1.95,2.88,2.19,2.37,2.08,1.42,1.01,0.97,1.07,1.0,1.08,1.15,0.64,0.69,0.8,0.66
b_0,2.39,2.26,2.79,2.87,2.37,1.54,1.3,1.0,0.79,0.95,1.0,0.93,0.93,0.86,0.7,0.99
f_0,2.32,2.64,2.45,2.62,2.47,1.68,1.33,1.24,1.09,0.85,1.05,1.0,0.94,0.76,1.07,0.76
h_0,2.88,2.71,3.01,2.8,2.22,1.97,1.38,1.31,1.17,1.61,1.08,1.11,1.0,1.05,0.74,0.72
g_0,2.47,4.05,3.01,3.39,2.64,2.16,1.44,1.36,1.27,1.41,1.13,1.37,0.93,1.0,0.94,0.86
e_0,2.82,2.77,3.5,3.27,2.94,2.36,1.68,1.41,1.41,1.16,1.42,0.95,1.3,1.09,1.0,0.91
a_0,2.95,3.03,3.27,3.59,3.23,2.42,1.65,1.42,1.38,1.55,1.03,1.31,1.41,1.11,1.11,1.0
