,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,16.34,0.51,0.47,0.72,0.51,0.49,0.8,0.89,0.78,2.24,1.06,1.09,1.03,0.9,0.49,0.8
f_1,0.97,16.38,0.53,0.55,0.52,0.48,0.81,0.68,0.73,0.75,0.86,0.27,0.9,0.83,0.6,0.78
d_1,0.49,0.63,18.31,0.36,0.55,0.55,1.01,0.98,2.04,0.29,1.12,1.02,0.95,1.02,0.98,1.07
c_1,0.52,0.46,0.52,20.98,1.14,0.5,0.79,0.72,0.2,0.93,0.89,0.89,0.8,0.77,0.91,1.07
b_1,0.51,0.52,0.6,0.43,22.33,1.32,0.81,0.78,0.77,0.73,0.23,0.9,0.53,1.04,0.97,0.89
a_1,0.51,0.57,0.47,0.61,0.49,32.85,0.97,0.89,1.12,0.83,0.88,1.09,0.45,1.08,0.86,1.02
h_1,0.52,1.09,0.71,0.71,0.45,0.66,5.23,1.7,1.22,0.95,1.06,1.25,1.24,0.53,1.29,1.41
g_1,0.65,0.54,1.23,0.74,0.5,0.6,0.96,6.05,1.19,1.19,1.0,1.85,0.96,1.27,1.61,0.72
c_0,0.61,0.83,0.87,0.39,0.62,0.49,1.12,1.33,3.61,1.13,2.68,1.64,1.38,1.4,1.57,1.33
d_0,0.69,0.56,0.27,2.25,0.59,0.49,0.96,1.2,0.73,3.49,1.19,1.31,1.06,1.49,1.18,1.25
b_0,0.65,0.81,0.81,0.77,0.28,0.41,1.53,1.38,1.09,0.92,3.79,1.26,3.88,1.69,1.48,1.53
f_0,0.52,0.38,0.75,0.75,0.67,0.67,1.39,1.14,1.37,1.28,1.75,3.82,1.57,1.69,3.81,1.57
a_0,0.65,0.79,0.84,0.71,0.67,0.32,1.21,1.21,1.33,1.03,1.17,1.5,4.55,1.72,1.42,0.99
h_0,0.54,1.21,0.92,0.72,0.69,0.5,0.65,1.45,1.22,1.19,1.11,0.93,1.4,0.61,1.57,1.61
e_0,0.27,1.19,0.65,0.69,0.67,0.93,1.37,0.92,1.3,0.99,1.23,0.88,1.23,1.62,6.18,1.64
g_0,0.45,0.59,1.28,0.69,0.8,0.49,1.27,0.86,1.36,0.79,1.41,2.26,1.73,1.39,1.02,0.74
