,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.49,0.43,0.39,0.52,0.41,0.35,0.53,1.0,0.49,0.55,0.56,0.51,0.68,0.57,0.25,0.47
f_1,0.77,1.5,0.42,0.41,0.44,0.38,0.46,0.53,0.47,0.61,0.48,0.28,0.47,0.38,0.4,0.55
d_1,0.52,0.64,1.55,0.36,0.32,0.37,0.62,0.27,0.42,0.8,0.59,0.54,0.55,0.43,0.54,0.48
c_1,0.46,0.49,0.39,1.56,0.78,0.33,0.54,0.51,0.46,0.22,0.53,0.5,0.57,0.44,0.47,0.52
b_1,0.46,0.4,0.57,0.44,1.59,0.73,0.47,0.47,0.56,0.58,0.24,0.63,0.59,0.45,0.4,0.52
a_1,0.53,0.5,0.58,0.57,0.3,1.72,0.65,0.53,0.63,0.49,0.65,0.55,0.81,0.19,0.57,0.65
h_1,0.77,1.05,0.68,0.72,0.64,0.51,1.69,0.93,0.79,0.68,0.88,0.73,0.59,0.65,0.71,1.21
d_0,0.51,0.77,0.52,1.31,0.87,0.7,0.75,1.49,0.73,0.67,0.89,0.83,0.97,0.82,0.82,1.0
g_1,0.69,0.71,1.14,0.52,0.75,0.63,0.96,0.8,1.78,0.94,0.68,1.18,0.91,0.87,0.81,0.5
c_0,0.74,0.87,0.78,0.56,0.52,0.64,1.02,1.16,0.86,1.56,1.44,0.95,0.83,1.02,0.66,1.13
b_0,0.75,0.88,0.86,0.81,0.38,0.55,0.94,1.08,0.93,0.83,1.57,0.96,1.14,1.24,1.02,1.11
f_0,0.76,0.46,0.74,0.78,0.9,0.73,0.97,1.15,0.8,0.87,0.78,1.61,1.03,0.79,1.38,0.83
h_0,0.76,1.16,0.87,0.8,0.82,0.56,0.46,0.95,0.97,0.89,0.78,0.74,0.58,0.67,0.58,1.08
a_0,0.8,1.04,0.9,0.82,0.71,0.41,1.12,1.08,0.66,0.79,0.93,0.93,1.15,1.67,0.73,0.83
e_0,0.4,1.01,0.92,0.87,0.94,0.58,0.96,1.12,0.82,1.16,0.83,0.9,1.44,0.93,1.64,1.15
g_0,0.82,0.7,1.26,0.82,0.79,0.53,0.73,0.82,0.67,0.93,1.01,1.09,0.82,0.98,0.87,0.63
