,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,2.37,0.84,1.1,0.67,0.74,0.71,1.45,1.45,1.73,1.58,1.97,0.82,1.67,1.92,1.57,1.92
c_1,0.74,2.48,0.71,1.3,0.88,0.75,1.23,1.66,0.52,1.52,1.13,1.39,1.39,2.2,1.59,2.26
e_1,0.75,0.87,2.51,0.78,0.62,0.7,1.75,2.78,1.74,1.44,1.92,1.57,1.52,2.17,0.68,2.2
b_1,0.87,0.67,0.75,2.58,0.8,1.18,1.59,1.52,1.61,1.68,0.76,1.77,1.59,1.81,1.99,1.91
d_1,0.76,0.47,0.87,0.79,2.63,0.77,1.41,1.08,2.87,1.29,2.04,2.25,2.17,2.28,1.88,1.83
a_1,0.84,0.75,0.71,0.64,0.98,3.18,1.71,1.44,1.57,1.39,1.88,1.92,1.23,1.92,1.94,2.32
h_1,1.22,1.17,0.97,0.8,1.11,0.87,4.03,2.15,2.1,2.48,2.39,2.14,2.11,2.18,1.77,3.17
d_0,1.09,1.8,0.84,0.89,0.54,0.94,1.89,3.57,1.86,1.77,1.72,2.21,2.04,2.79,2.61,2.65
c_0,1.21,0.9,1.01,0.89,0.84,1.16,2.27,2.36,3.8,2.01,3.85,2.47,2.94,3.2,2.41,2.84
g_1,0.94,1.1,0.93,0.87,1.5,0.93,1.42,2.12,2.21,4.41,2.22,2.87,2.29,2.76,2.11,1.76
b_0,1.05,1.3,0.97,0.7,1.08,0.88,1.83,2.89,2.0,2.12,4.13,2.41,4.1,3.01,2.48,3.66
f_0,0.67,1.38,0.96,1.0,0.97,0.98,2.2,2.49,2.31,1.9,2.69,4.29,2.02,2.75,3.68,2.45
a_0,1.31,0.93,1.12,0.99,0.97,0.48,2.01,2.36,1.99,1.83,1.83,2.57,4.71,3.38,2.69,2.42
h_0,1.37,1.12,0.85,1.03,0.88,1.01,0.87,2.51,1.85,2.01,2.3,2.31,2.12,1.74,2.36,2.8
e_0,1.18,1.09,0.55,1.06,1.19,1.11,2.6,1.98,2.21,2.12,2.05,2.23,1.83,2.91,4.92,3.42
g_0,0.95,0.97,0.92,1.01,1.45,1.0,2.0,2.32,2.11,1.1,1.98,3.58,2.2,2.9,2.59,1.86
