,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,5.77,0.08,0.07,0.07,0.09,0.06,0.29,0.31,0.79,,0.42,0.35,0.62,0.72,0.24,0.25
e_1,0.04,5.8,0.08,0.09,0.08,0.1,0.25,0.28,0.36,0.66,0.41,0.37,0.58,0.59,0.34,
f_1,0.08,0.14,6.03,0.1,0.06,0.06,0.35,0.13,0.37,0.44,0.34,,0.67,0.39,0.35,0.38
c_1,0.06,0.08,0.08,6.49,0.11,0.08,0.37,0.31,,0.4,0.19,0.27,0.78,0.56,0.52,0.54
b_1,0.08,0.09,0.1,0.07,7.4,0.13,0.31,0.25,0.32,0.43,,0.36,0.62,0.57,,0.35
a_1,0.08,0.09,0.07,0.09,0.08,10.81,0.2,0.24,0.39,0.32,0.34,0.45,0.65,0.55,,
h_1,0.27,0.17,0.32,0.25,0.39,0.23,14.49,2.02,2.05,1.19,1.27,1.28,,3.21,1.38,1.26
g_1,0.52,0.2,0.29,0.24,0.33,0.42,0.94,17.75,1.07,1.19,1.98,2.13,1.29,,1.29,
c_0,0.37,0.4,0.36,,0.3,0.26,1.83,1.33,11.8,1.65,4.02,1.66,3.12,2.99,2.21,2.41
d_0,,0.37,0.46,0.7,0.35,0.36,1.77,1.08,1.37,12.57,1.79,2.05,3.08,2.94,2.15,1.7
b_0,0.37,0.31,0.35,0.48,,0.23,0.98,1.62,1.77,2.66,14.24,2.03,2.68,2.81,4.08,1.3
f_0,0.44,0.43,,0.31,0.32,0.4,1.33,1.21,2.45,1.91,1.86,16.03,3.39,2.39,2.41,3.07
h_0,0.52,0.5,0.81,0.53,0.66,0.48,,3.72,2.87,2.92,3.05,2.08,,5.6,,3.97
g_0,0.83,0.54,0.64,0.48,0.47,0.66,2.41,,3.09,2.44,2.02,5.58,3.48,,,3.09
a_0,0.46,0.36,0.37,0.48,0.45,,1.78,,1.51,1.23,1.47,2.28,3.51,2.41,22.85,
e_0,0.58,,0.3,0.28,0.45,,1.85,1.44,1.68,2.13,,2.23,3.18,2.13,,24.34
