,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.84,0.86,0.71,0.62,0.77,0.8,1.04,1.0,0.7,1.64,1.21,1.08,1.05,1.11,1.03,1.12
f_1,0.76,1.81,1.27,0.78,0.71,0.65,0.91,0.93,1.02,0.9,0.91,0.67,1.03,0.87,0.99,0.65
e_1,0.73,0.87,1.8,0.96,0.81,0.77,0.97,0.95,1.55,0.91,1.02,0.93,0.91,0.91,0.89,0.76
c_1,0.81,0.72,0.74,2.12,1.4,0.73,0.94,0.97,0.88,0.56,0.66,1.12,1.01,0.94,0.96,0.93
b_1,0.8,0.81,0.8,0.83,2.12,1.45,0.87,0.83,0.89,0.86,0.71,0.97,0.88,0.89,1.02,0.97
a_1,0.93,0.75,0.76,0.88,0.77,2.95,1.05,0.96,0.94,0.92,1.05,0.99,1.1,0.77,1.04,1.16
h_1,0.97,1.14,0.86,0.88,0.77,0.67,1.73,1.33,0.83,0.98,0.88,0.89,0.78,1.02,1.14,1.04
g_1,1.22,0.81,0.76,0.86,0.79,0.72,0.92,1.94,0.85,1.1,1.01,1.45,1.06,1.01,0.74,1.32
d_0,0.7,0.92,0.84,1.55,0.88,0.68,1.0,0.99,1.4,0.77,1.01,0.92,1.05,0.87,0.96,1.09
c_0,1.03,1.07,0.81,0.72,0.65,0.8,1.2,1.03,0.99,1.45,1.84,1.04,1.17,1.37,1.11,1.37
b_0,1.08,0.99,0.83,0.91,0.57,0.7,1.08,1.07,0.9,0.99,1.62,1.06,1.08,1.86,1.21,1.05
f_0,0.96,0.84,0.76,0.86,0.83,0.94,1.08,0.99,1.01,1.08,1.12,1.77,1.03,1.16,1.07,2.22
h_0,1.01,1.16,0.92,0.82,0.75,0.71,0.7,1.22,0.88,0.96,1.2,1.04,0.94,1.03,1.3,0.95
a_0,0.94,1.07,0.82,1.01,0.88,0.47,1.1,1.08,1.1,1.03,1.18,1.06,1.19,1.95,1.11,1.06
g_0,1.24,0.82,0.78,0.86,0.84,0.84,0.97,0.76,0.86,1.03,1.17,1.54,1.01,1.15,0.97,1.3
e_0,0.98,1.02,0.84,0.86,0.88,0.94,1.11,1.12,0.82,0.85,1.11,0.99,1.16,1.13,0.94,2.0
