,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.42,1.69,1.12,1.11,1.03,0.94,1.91,1.93,2.32,2.33,2.49,1.66,2.91,2.49,1.77,2.94
e_1,1.08,2.45,1.41,0.99,1.16,0.95,2.22,2.51,4.05,2.63,2.68,2.67,2.87,2.56,1.58,3.36
c_1,1.11,0.89,2.53,1.34,1.71,1.13,2.04,2.16,2.14,1.06,2.18,2.35,3.11,2.33,2.81,2.91
d_1,1.24,1.11,0.96,2.55,1.23,1.05,2.23,2.02,1.44,3.9,3.02,2.61,3.31,2.59,2.71,2.45
b_1,1.17,1.03,1.02,1.09,2.72,1.95,2.29,2.26,2.68,2.76,1.23,2.62,2.86,2.31,2.76,3.29
a_1,1.2,1.38,1.04,1.39,0.86,3.3,2.44,2.17,2.13,2.37,2.58,2.44,2.9,1.21,2.41,2.4
h_1,1.54,1.14,1.3,1.35,1.17,0.98,3.97,2.91,2.57,2.58,2.68,2.37,2.76,2.57,2.83,4.58
g_1,1.13,0.83,1.29,1.75,1.23,1.29,2.29,4.45,2.56,2.7,2.83,4.34,2.86,3.45,3.41,2.66
d_0,1.21,1.03,2.08,0.91,1.15,1.35,2.43,2.21,3.88,2.11,2.9,2.8,3.61,2.57,2.8,3.8
c_0,1.51,1.25,1.1,1.2,1.0,1.39,2.69,2.24,3.04,3.86,4.47,2.76,3.62,3.35,3.25,3.26
b_0,1.44,1.32,1.44,1.21,0.91,1.1,2.3,2.46,2.57,2.42,4.2,2.71,4.1,4.74,3.2,4.08
f_0,0.92,0.96,1.57,1.21,1.23,1.46,2.76,2.17,2.94,3.1,2.45,4.46,3.88,2.33,5.64,3.67
h_0,1.67,1.26,1.31,1.27,1.23,1.24,1.49,3.14,2.48,2.35,2.5,2.57,2.78,2.89,2.39,4.29
a_0,1.39,1.4,1.41,1.3,1.43,1.06,2.53,1.74,2.31,2.43,2.36,2.72,3.35,4.81,1.88,3.49
e_0,1.56,0.85,1.22,1.08,1.22,1.42,2.59,2.65,3.14,2.44,2.56,2.6,4.54,3.34,5.08,3.41
g_0,1.19,1.17,1.41,1.73,1.07,1.31,2.04,2.25,2.4,2.6,2.3,3.33,3.48,2.78,3.08,2.65
