,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.65,1.15,0.93,1.06,1.12,0.9,0.37,0.41,0.37,0.53,0.35,0.43,0.25,0.34,0.32,0.34
e_1,0.74,0.65,1.08,1.14,1.16,1.08,0.51,0.47,0.38,0.48,0.37,0.46,0.32,0.4,0.53,0.34
d_1,1.19,1.25,0.63,1.18,1.05,0.94,0.43,0.52,0.45,0.3,0.4,0.35,0.31,0.32,0.35,0.22
c_1,1.13,0.94,1.22,0.64,1.31,1.01,0.5,0.26,0.53,0.47,0.35,0.37,0.32,0.33,0.37,0.33
b_1,1.19,1.16,1.23,0.75,0.63,1.24,0.61,0.43,0.48,0.57,0.61,0.4,0.36,0.38,0.33,0.33
a_1,1.6,1.4,1.37,1.34,0.75,0.58,0.74,0.61,0.5,0.68,0.61,0.53,0.42,0.76,0.51,0.43
h_1,2.24,1.64,1.94,1.79,1.53,1.33,0.54,0.62,0.65,0.8,0.68,0.6,0.56,0.56,0.6,0.5
d_0,1.76,1.28,2.52,2.64,1.88,1.46,0.89,0.58,0.68,0.82,0.75,0.72,0.59,0.6,0.69,0.54
c_0,2.04,2.28,1.22,2.19,1.96,1.66,0.88,1.18,0.57,0.86,0.89,0.62,0.55,0.66,0.6,0.54
g_1,2.1,1.98,2.38,2.04,1.85,1.62,0.71,0.74,0.72,0.52,0.69,0.78,0.52,0.61,0.71,0.56
b_0,2.27,1.96,1.68,2.88,2.3,1.61,0.86,0.78,0.46,0.92,0.54,0.65,0.6,0.73,0.66,0.59
f_0,2.93,1.97,2.04,2.26,2.14,1.64,0.95,0.88,0.85,0.66,0.74,0.54,0.61,0.59,0.83,0.39
h_0,2.47,2.2,2.04,2.56,2.09,1.73,1.29,0.94,0.8,0.94,0.83,0.81,0.85,0.72,0.64,0.7
a_0,2.41,1.99,2.32,2.63,2.93,2.85,1.12,0.94,0.85,1.03,0.55,0.91,0.76,0.54,0.84,0.69
e_0,3.73,2.47,2.15,2.31,2.56,1.8,1.03,0.95,0.82,0.84,0.82,0.49,0.77,0.81,0.52,0.65
g_0,2.71,2.29,2.57,2.57,2.35,1.81,0.87,1.05,0.87,1.21,0.9,1.02,0.59,0.8,0.92,0.8
