,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.25,0.99,0.51,0.61,0.5,0.35,1.04,1.21,0.9,0.96,1.11,0.43,1.22,0.69,0.61,1.02
e_1,0.72,2.28,0.49,0.65,0.42,0.44,1.03,2.23,0.84,1.09,1.01,1.12,1.37,0.97,0.64,1.18
d_1,0.71,0.57,2.38,0.35,0.48,0.46,1.07,0.58,0.96,2.35,1.34,1.13,1.61,1.31,1.2,1.21
c_1,0.61,0.54,0.52,2.45,0.97,0.35,1.06,1.32,0.8,0.43,0.92,0.98,1.49,0.85,0.84,0.98
b_1,0.5,0.61,0.66,0.58,2.62,0.96,1.04,1.06,0.85,0.95,0.45,0.93,1.0,0.6,0.61,1.21
a_1,0.65,0.55,0.66,0.58,0.47,3.07,0.99,1.05,0.97,1.19,1.15,1.43,1.58,0.62,1.15,1.51
h_1,1.05,0.59,0.79,0.69,0.55,0.45,3.07,1.46,1.7,1.42,1.36,1.1,1.17,1.18,1.36,1.97
d_0,0.82,0.7,0.32,1.37,0.64,0.44,1.26,2.64,0.96,1.04,1.13,1.38,1.73,0.94,1.34,1.63
g_1,0.65,0.61,1.12,0.67,0.64,0.47,1.07,1.26,3.31,1.26,1.69,2.31,1.6,1.28,1.23,1.12
c_0,0.81,0.58,0.82,0.48,0.54,0.54,1.49,1.25,1.66,2.84,2.83,1.46,1.86,1.66,1.3,1.77
b_0,0.78,0.79,0.86,0.73,0.3,0.35,1.52,1.55,1.4,1.37,2.8,1.47,1.55,2.79,1.47,1.52
f_0,0.47,0.56,0.97,0.73,0.75,0.5,1.14,1.32,1.4,1.5,1.55,2.93,2.08,1.33,2.66,1.72
h_0,0.95,0.63,0.72,0.68,0.62,0.65,0.83,1.42,1.39,1.42,1.49,1.35,1.23,1.18,1.35,1.9
a_0,0.8,0.69,0.85,0.79,0.66,0.2,1.45,1.39,1.14,1.66,1.49,1.37,1.76,3.05,1.1,1.49
e_0,0.75,0.36,0.85,0.68,0.82,0.54,1.58,1.73,1.45,1.61,1.58,1.45,1.91,0.99,3.34,2.44
g_0,0.58,0.53,1.21,0.68,0.67,0.49,1.4,1.19,1.05,1.37,1.47,2.36,1.64,1.35,1.27,1.24
