,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.93,0.08,0.11,0.07,0.08,0.06,0.08,0.08,0.08,0.09,0.05,0.05,0.03,0.06,,0.05
f_1,0.2,0.93,0.1,0.11,0.09,0.06,0.07,0.05,0.07,0.07,,0.05,0.05,0.04,0.03,0.05
d_1,0.1,0.1,0.93,0.08,0.1,0.09,0.08,0.07,0.1,,0.05,0.05,0.04,0.05,0.06,0.04
c_1,0.14,0.09,0.11,0.93,0.15,0.07,0.09,0.06,,0.05,0.06,0.06,0.05,0.06,0.05,0.05
b_1,0.12,0.13,0.11,0.08,0.93,0.1,0.09,0.06,0.07,0.07,0.08,,0.04,0.07,0.03,0.05
a_1,0.18,0.1,0.1,0.1,0.09,0.93,0.09,0.07,0.08,,0.06,0.05,,0.08,,0.05
h_1,0.28,0.33,0.22,0.23,0.2,0.19,0.71,0.22,0.17,0.2,0.15,0.18,0.15,,0.13,0.2
g_1,0.25,0.36,0.33,0.37,0.28,0.2,0.14,0.71,0.18,0.12,0.22,0.19,0.16,0.16,,
c_0,0.25,0.36,0.36,,0.25,0.24,0.26,0.24,0.57,0.23,0.19,0.36,0.17,0.18,0.16,0.2
d_0,0.34,0.39,,0.53,0.32,,0.24,0.24,0.25,0.58,0.16,0.19,0.17,0.26,0.14,0.17
f_0,0.38,,0.45,0.31,0.24,0.24,0.23,0.2,0.29,0.28,0.58,0.18,0.13,0.19,0.29,0.19
b_0,0.37,0.39,0.41,0.34,,0.25,0.27,0.23,0.18,0.26,0.28,0.57,0.27,0.18,0.12,0.18
a_0,0.44,0.43,0.44,0.36,0.28,,0.3,0.23,0.2,0.23,0.27,0.17,0.59,0.25,,0.15
h_0,0.46,0.75,0.54,0.43,0.42,0.32,,0.4,0.32,0.28,0.26,0.28,0.18,,0.16,0.23
e_0,,0.51,0.32,0.38,0.46,,0.31,,0.22,0.29,0.19,0.33,,0.3,0.58,0.21
g_0,0.54,0.42,0.78,0.49,0.38,0.36,0.24,,0.32,0.28,0.35,0.27,0.25,0.32,0.23,
