,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.17,1.49,1.63,1.45,1.72,1.63,0.35,0.51,0.35,0.27,1.35,0.37,0.2,0.31,0.34,0.24
e_1,0.94,0.17,1.87,1.82,1.77,1.47,0.48,0.58,0.33,0.36,0.39,0.34,0.28,1.55,0.35,0.25
c_1,1.91,1.43,0.16,1.98,1.4,1.59,0.43,0.58,0.19,1.05,0.31,0.33,0.25,0.36,0.32,0.29
d_1,1.81,1.91,1.84,0.16,1.97,1.72,0.47,0.29,1.55,0.33,0.27,0.26,0.22,0.35,0.26,0.15
b_1,1.66,2.01,0.87,1.64,0.14,1.98,0.51,0.52,0.39,0.57,0.34,1.7,0.24,0.32,0.42,0.24
a_1,1.75,1.51,2.47,2.81,0.79,0.09,0.46,0.52,0.31,0.42,0.37,0.49,0.31,0.43,1.28,0.27
h_1,0.78,0.99,0.84,0.9,0.9,1.1,0.07,0.32,0.18,0.21,0.26,0.21,0.33,0.21,0.19,0.17
g_1,0.93,1.09,0.92,0.94,1.09,0.86,0.2,0.05,0.19,0.2,0.24,0.18,0.1,0.15,0.19,0.49
d_0,0.87,0.51,0.93,2.35,1.19,1.05,0.28,0.25,0.08,0.18,0.18,0.19,0.13,0.19,0.24,0.18
c_0,0.97,0.91,2.57,0.45,1.16,1.46,0.31,0.3,0.21,0.07,0.19,0.2,0.14,0.14,0.21,0.15
f_0,2.87,0.78,0.88,0.87,1.04,0.77,0.24,0.15,0.18,0.15,0.06,0.23,0.14,0.13,0.23,0.09
b_0,1.02,0.81,1.68,0.76,2.86,0.69,0.3,0.23,0.17,0.08,0.15,0.06,0.12,0.14,0.18,0.12
h_0,0.98,0.95,0.81,0.75,1.08,0.97,0.77,0.34,0.19,0.16,0.17,0.15,0.23,0.18,0.15,0.14
e_0,1.37,2.39,0.75,0.95,0.84,0.64,0.23,0.31,0.18,0.16,0.09,0.25,0.11,0.04,0.17,0.1
a_0,0.87,0.91,1.07,1.09,0.96,2.26,0.32,0.21,0.13,0.17,0.23,0.08,0.1,0.14,0.04,0.16
g_0,1.22,0.84,0.8,0.71,1.03,1.22,0.22,0.61,0.2,0.15,0.2,0.19,0.09,0.15,0.18,0.31
