,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.41,0.62,0.6,0.56,0.6,0.54,0.27,0.27,0.27,0.32,0.25,0.25,0.24,0.18,0.22,0.24
c_1,0.59,0.39,0.49,0.69,0.73,0.55,0.28,0.19,0.28,0.34,0.23,0.25,0.25,0.23,0.26,0.23
e_1,0.47,0.66,0.39,0.62,0.55,0.55,0.34,0.34,0.27,0.33,0.29,0.33,0.25,0.24,0.32,0.27
b_1,0.66,0.42,0.58,0.38,0.63,0.72,0.35,0.23,0.33,0.35,0.33,0.28,0.27,0.23,0.26,0.24
d_1,0.6,0.56,0.68,0.56,0.37,0.56,0.31,0.35,0.3,0.22,0.3,0.28,0.31,0.22,0.25,0.17
a_1,0.64,0.62,0.69,0.38,0.6,0.31,0.36,0.35,0.28,0.36,0.32,0.27,0.33,0.24,0.28,0.24
h_1,0.59,0.63,0.51,0.55,0.55,0.5,0.22,0.26,0.26,0.35,0.25,0.25,0.24,0.27,0.23,0.21
d_0,0.59,0.68,0.39,0.63,0.65,0.52,0.32,0.23,0.25,0.31,0.23,0.25,0.23,0.21,0.29,0.22
c_0,0.61,0.8,0.6,0.57,0.4,0.53,0.33,0.37,0.21,0.27,0.29,0.26,0.33,0.23,0.28,0.19
g_1,0.54,0.58,0.57,0.53,0.63,0.49,0.24,0.27,0.28,0.21,0.25,0.28,0.24,0.18,0.27,0.23
b_0,0.56,0.78,0.54,0.67,0.48,0.52,0.32,0.33,0.18,0.28,0.2,0.25,0.29,0.21,0.25,0.19
f_0,0.73,0.63,0.55,0.55,0.46,0.5,0.3,0.26,0.25,0.23,0.26,0.2,0.27,0.23,0.28,0.15
a_0,0.57,0.66,0.55,0.71,0.5,0.6,0.33,0.29,0.2,0.31,0.16,0.26,0.18,0.22,0.24,0.21
h_0,0.57,0.58,0.54,0.6,0.58,0.52,0.31,0.24,0.24,0.28,0.24,0.24,0.23,0.23,0.23,0.21
e_0,0.72,0.57,0.74,0.51,0.53,0.51,0.32,0.25,0.25,0.28,0.26,0.16,0.25,0.22,0.17,0.17
g_0,0.56,0.57,0.53,0.57,0.59,0.51,0.27,0.27,0.26,0.34,0.25,0.28,0.28,0.18,0.26,0.23
