,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,2.37,0.24,0.2,0.29,0.29,0.27,0.6,0.6,0.87,0.57,0.54,0.65,0.88,,0.74,0.8
d_1,0.31,2.42,0.3,0.25,0.29,0.33,0.53,0.54,,0.98,0.65,0.53,0.74,0.66,0.54,0.54
f_1,0.52,0.27,2.46,0.26,0.27,0.21,0.5,0.54,0.68,0.58,0.6,,0.55,0.46,0.61,0.8
c_1,0.25,0.28,0.26,2.6,0.44,0.26,0.52,0.63,0.63,,0.52,0.64,0.92,0.51,0.6,0.7
b_1,0.25,0.3,0.27,0.2,2.77,0.39,0.64,0.54,0.73,0.79,,0.61,0.77,0.48,,0.73
a_1,0.28,0.18,0.33,0.36,0.23,3.21,0.67,0.54,0.43,0.51,0.62,0.62,0.74,0.74,,0.92
h_1,0.46,0.52,0.73,0.48,0.57,0.46,3.88,1.41,1.12,1.24,0.83,0.77,,1.62,1.07,2.23
g_1,0.47,0.77,0.43,0.47,0.58,0.56,0.78,3.95,1.26,1.26,1.26,1.86,1.15,1.32,1.07,
d_0,0.65,,0.53,1.06,0.55,0.74,1.33,1.01,3.43,1.25,1.13,1.36,1.8,1.57,1.22,1.57
c_0,0.8,0.53,0.6,,0.47,0.58,1.08,1.22,1.11,3.6,1.93,1.82,2.05,1.16,1.26,1.54
b_0,0.52,0.66,0.78,0.68,,0.62,1.62,0.96,1.56,1.12,3.8,1.17,1.38,0.99,2.51,1.44
f_0,0.53,0.79,,0.54,0.68,0.55,1.59,0.59,1.61,1.05,1.46,3.87,2.02,1.94,1.46,1.57
h_0,0.48,0.65,1.12,0.6,0.71,0.81,,1.95,1.55,1.77,2.3,1.74,,1.65,1.46,2.38
e_0,,0.51,0.57,0.62,0.68,0.6,0.9,1.38,1.24,1.52,2.14,0.97,1.98,4.68,,2.13
a_0,0.53,0.67,0.68,0.57,,,1.15,1.07,1.58,1.42,1.29,1.54,1.67,,4.74,1.47
g_0,0.55,1.22,0.72,0.83,0.56,0.63,1.28,,1.5,1.47,1.53,2.22,2.59,1.73,1.74,
