,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,1.1,3.76,1.81,3.37,3.0,2.7,0.93,0.72,0.68,1.17,0.78,0.74,0.42,0.5,1.31,0.72
d_1,3.82,1.09,3.61,3.52,2.93,2.87,0.86,1.3,0.58,0.54,0.62,0.5,0.42,0.27,0.53,0.54
f_1,2.99,3.19,1.11,3.26,2.98,2.87,0.7,0.64,0.65,1.1,0.62,1.1,0.35,0.57,0.63,0.67
c_1,2.54,4.17,2.84,1.11,3.37,3.01,0.92,0.4,0.93,0.85,0.69,0.66,0.47,0.45,0.67,0.5
b_1,3.72,4.32,4.58,1.93,1.12,4.86,1.16,0.79,1.04,1.01,1.26,0.76,0.68,0.61,0.78,0.71
a_1,6.44,6.01,5.78,6.46,2.89,1.14,1.66,1.32,1.11,1.85,1.48,1.19,0.87,0.9,1.0,1.46
h_1,10.87,12.36,13.75,11.45,10.89,9.11,1.59,2.43,2.37,3.34,2.17,2.06,2.11,1.51,2.04,2.34
d_0,7.77,20.05,13.86,17.53,14.65,12.41,4.47,1.95,3.07,4.81,3.37,2.87,1.96,2.25,3.37,2.53
c_0,15.94,8.29,17.67,21.43,15.97,12.99,4.4,4.93,1.91,3.89,2.8,2.83,2.26,1.94,2.87,2.7
g_1,14.14,14.93,16.63,15.51,14.29,12.74,3.1,3.42,3.52,1.69,3.75,2.74,1.64,2.19,2.87,2.59
b_0,15.94,13.01,20.06,22.14,22.93,13.35,4.43,3.52,1.92,4.27,1.9,2.8,2.38,2.52,2.78,2.59
f_0,16.77,16.5,30.18,19.68,17.99,13.73,5.27,4.31,3.68,3.24,3.78,2.07,2.45,1.64,3.01,3.02
h_0,21.88,20.65,21.05,23.7,21.38,20.3,8.16,5.43,4.55,6.54,4.46,4.26,4.46,3.18,3.5,3.65
g_0,22.87,26.32,31.28,30.32,26.08,24.99,5.55,6.83,5.14,8.84,4.86,4.59,2.95,5.19,4.95,4.37
e_0,45.15,19.05,33.76,28.76,27.87,19.69,7.63,7.04,5.43,5.4,5.87,3.07,4.04,3.78,2.2,4.1
a_0,26.48,22.25,36.28,34.69,35.99,39.78,8.49,5.85,4.88,7.98,3.29,5.71,4.32,4.27,5.01,2.5
