,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,23.16,0.36,0.3,0.37,0.35,0.33,0.68,0.66,0.72,1.81,0.82,0.87,0.8,0.77,0.27,0.73
f_1,0.58,23.59,0.37,0.35,0.36,0.35,0.69,0.6,0.71,0.67,0.77,0.1,0.81,0.79,0.56,0.69
d_1,0.3,0.4,24.96,0.23,0.36,0.36,0.83,0.82,1.54,0.15,0.88,0.9,0.78,0.84,0.76,0.91
c_1,0.36,0.26,0.34,30.09,0.68,0.32,0.65,0.65,0.08,0.91,0.83,0.83,0.6,0.81,0.82,1.02
b_1,0.34,0.31,0.41,0.29,32.56,0.79,0.65,0.7,0.7,0.65,0.13,0.81,0.48,1.03,0.78,0.83
a_1,0.32,0.36,0.27,0.41,0.31,48.21,0.78,0.66,0.95,0.7,0.78,0.86,0.25,0.9,0.63,0.96
h_1,0.53,0.99,0.67,0.65,0.46,0.6,8.87,1.66,1.41,1.19,1.43,1.55,1.67,0.46,1.5,1.41
g_1,0.58,0.57,1.0,0.72,0.48,0.51,1.11,10.36,1.52,1.28,1.15,2.3,1.16,1.5,1.91,0.61
c_0,0.66,0.63,0.75,0.33,0.63,0.44,1.57,1.62,5.89,1.42,2.92,2.08,1.47,1.71,1.87,1.99
d_0,0.64,0.55,0.16,1.99,0.63,0.53,1.25,1.51,1.01,5.71,1.51,1.75,1.3,1.98,1.62,1.65
b_0,0.62,0.74,0.63,0.79,0.2,0.45,1.79,1.51,1.28,1.3,6.33,1.59,4.89,2.13,2.17,2.21
f_0,0.56,0.17,0.8,0.79,0.61,0.71,1.58,1.37,1.82,1.58,2.46,6.79,2.11,2.15,4.21,1.96
a_0,0.67,0.78,0.86,0.68,0.45,0.2,1.53,1.52,1.63,1.02,1.64,1.95,8.13,2.05,1.76,1.53
h_0,0.48,1.04,0.74,0.61,0.63,0.5,0.53,1.78,1.51,1.6,1.32,1.04,1.82,0.6,1.84,2.15
e_0,0.28,1.13,0.61,0.61,0.7,0.83,1.7,1.2,1.37,1.45,1.46,1.02,1.65,2.17,10.59,2.02
g_0,0.46,0.63,0.98,0.68,0.66,0.44,1.51,0.7,1.84,1.07,1.88,2.16,1.86,1.77,1.59,
