,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.68,5.55,6.08,4.9,5.49,4.65,2.19,1.88,1.95,3.37,2.51,,1.61,1.06,1.71,2.35
c_1,5.33,0.66,6.08,6.54,10.45,6.38,1.97,1.25,,2.75,2.36,1.79,2.22,1.45,1.92,1.76
e_1,4.04,5.82,0.66,6.34,5.46,6.15,2.63,2.24,2.41,2.68,2.24,2.01,1.55,1.71,,1.81
b_1,6.74,3.67,5.25,0.65,6.15,7.31,3.62,2.18,2.42,3.0,,1.87,2.25,1.68,1.89,1.44
d_1,6.43,5.19,6.94,5.11,0.64,4.32,2.15,,3.26,1.52,2.23,2.17,2.79,1.92,2.25,1.32
a_1,7.9,6.51,8.87,4.94,7.5,0.58,3.32,2.54,2.07,2.76,2.64,2.45,,2.47,2.59,1.91
h_1,4.96,6.93,4.73,4.48,5.25,4.27,0.6,1.83,1.89,2.46,2.03,1.62,2.05,,,1.33
d_0,6.08,4.53,3.21,5.93,,4.8,2.04,0.72,1.88,1.86,1.25,1.57,1.42,1.11,1.87,1.23
c_0,4.59,,4.69,4.96,2.69,4.87,2.06,1.78,0.69,2.27,1.74,2.21,1.69,1.58,1.66,1.28
g_1,4.68,4.92,5.64,4.5,7.69,6.6,2.02,2.35,2.17,0.57,1.9,2.13,1.95,1.68,,
b_0,4.31,6.69,4.3,,5.0,5.64,1.96,2.96,1.28,2.02,0.68,1.47,3.0,1.36,1.73,1.86
f_0,,6.14,7.04,4.9,4.69,4.77,3.06,1.94,1.62,1.63,2.04,0.66,,1.66,2.14,1.05
a_0,6.47,6.97,7.44,5.45,4.02,,2.53,3.2,1.98,2.49,1.03,,0.61,2.13,,1.55
h_0,5.49,4.66,4.7,5.33,4.34,4.42,,1.63,1.52,1.76,1.95,1.68,1.15,,1.49,1.47
e_0,7.37,6.44,,5.49,5.65,4.69,,2.23,2.07,,2.15,1.39,,1.94,0.6,1.37
g_0,5.25,4.69,6.0,6.18,6.07,4.27,1.82,1.9,1.72,,1.31,1.92,1.92,1.28,1.53,
