,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.65,1.13,1.0,1.11,1.07,0.91,0.38,0.37,0.5,0.35,0.36,0.46,0.25,0.32,0.36,0.32
e_1,0.77,0.65,1.03,1.21,1.19,1.11,0.53,0.41,0.51,0.47,0.38,0.45,0.34,0.41,0.45,0.35
d_1,1.18,1.31,0.64,1.02,0.96,0.9,0.46,0.47,0.34,0.58,0.41,0.41,0.33,0.38,0.39,0.22
c_1,1.13,0.97,1.36,0.64,1.27,0.86,0.55,0.41,0.53,0.25,0.36,0.37,0.32,0.39,0.36,0.3
b_1,1.27,1.08,1.22,0.73,0.63,1.53,0.53,0.51,0.53,0.43,0.52,0.37,0.37,0.37,0.37,0.35
a_1,1.61,1.39,1.45,1.57,0.76,0.57,0.68,0.56,0.58,0.49,0.69,0.5,0.39,0.67,0.48,0.43
h_1,2.0,1.73,1.57,1.87,1.51,1.32,0.55,0.67,0.83,0.78,0.72,0.68,0.59,0.52,0.53,0.52
c_0,2.19,1.95,1.24,3.07,1.87,1.53,0.9,0.55,0.69,0.81,0.78,0.73,0.54,0.67,0.65,0.53
g_1,1.94,1.76,2.11,2.09,1.93,1.55,0.74,0.77,0.53,0.75,0.6,0.73,0.48,0.74,0.66,0.61
d_0,2.08,1.33,2.09,2.56,2.11,1.8,0.87,0.73,0.94,0.58,0.67,0.68,0.59,0.67,0.65,0.65
b_0,2.17,2.06,1.64,2.6,2.55,1.61,0.81,0.5,1.02,0.81,0.55,0.69,0.59,0.84,0.69,0.72
f_0,2.89,1.95,1.7,2.0,2.14,1.77,0.93,0.8,0.65,0.77,0.8,0.56,0.72,0.71,0.85,0.42
h_0,2.42,2.25,2.05,2.34,2.09,1.84,1.09,0.9,0.97,0.82,0.73,0.69,0.76,0.7,0.75,0.77
a_0,2.52,2.26,2.19,2.36,2.91,2.27,1.18,0.78,0.97,0.78,0.5,0.76,0.72,0.54,0.74,0.73
e_0,2.95,2.63,2.22,2.35,2.32,2.16,1.08,0.81,0.98,0.94,0.79,0.49,0.71,0.75,0.52,0.68
g_0,2.87,2.29,2.49,2.6,2.04,1.98,0.84,1.0,1.22,0.9,0.83,1.03,0.54,0.82,0.72,0.77
