,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.16,0.4,0.4,0.44,0.48,0.41,0.1,0.15,0.09,0.11,0.09,0.13,0.05,0.1,0.09,0.07
d_1,0.48,0.16,0.53,0.5,0.42,0.42,0.12,0.08,0.09,0.15,0.08,0.08,0.05,0.08,0.09,0.04
e_1,0.26,0.5,0.15,0.48,0.51,0.51,0.13,0.16,0.1,0.11,0.11,0.13,0.07,0.09,0.13,0.08
c_1,0.44,0.54,0.36,0.15,0.49,0.42,0.11,0.14,0.12,0.06,0.08,0.08,0.08,0.08,0.09,0.07
b_1,0.49,0.5,0.49,0.25,0.13,0.43,0.18,0.13,0.15,0.1,0.18,0.1,0.07,0.11,0.1,0.08
a_1,0.55,0.47,0.5,0.49,0.22,0.09,0.13,0.14,0.12,0.1,0.13,0.1,0.08,0.16,0.09,0.07
h_1,0.44,0.38,0.37,0.38,0.43,0.3,0.05,0.12,0.09,0.09,0.08,0.08,0.1,0.1,0.08,0.06
g_1,0.44,0.37,0.39,0.44,0.43,0.36,0.09,0.05,0.08,0.08,0.08,0.08,0.04,0.08,0.07,0.08
c_0,0.45,0.24,0.41,0.79,0.49,0.38,0.12,0.11,0.05,0.11,0.08,0.08,0.06,0.09,0.07,0.05
d_0,0.34,0.66,0.23,0.42,0.41,0.44,0.13,0.13,0.09,0.06,0.09,0.08,0.06,0.08,0.08,0.07
b_0,0.41,0.32,0.38,0.57,0.62,0.37,0.11,0.11,0.05,0.08,0.05,0.07,0.06,0.09,0.07,0.05
f_0,0.52,0.38,0.38,0.43,0.38,0.34,0.13,0.08,0.08,0.09,0.08,0.05,0.06,0.08,0.08,0.03
h_0,0.4,0.4,0.36,0.4,0.4,0.35,0.14,0.12,0.07,0.08,0.08,0.07,0.07,0.08,0.07,0.05
a_0,0.4,0.33,0.4,0.41,0.52,0.61,0.11,0.11,0.07,0.08,0.05,0.07,0.06,0.04,0.06,0.06
e_0,0.53,0.33,0.52,0.45,0.38,0.34,0.12,0.09,0.08,0.09,0.08,0.04,0.06,0.07,0.04,0.05
g_0,0.43,0.45,0.39,0.41,0.35,0.33,0.08,0.13,0.08,0.09,0.08,0.08,0.04,0.1,0.09,0.07
