,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.0,0.86,0.79,1.23,0.9,0.78,0.57,0.47,0.43,0.58,0.48,0.43,0.37,0.32,0.36,0.32
d_1,1.16,1.0,0.93,0.89,0.97,0.73,0.5,0.34,0.57,0.44,0.4,0.36,0.35,0.33,0.33,0.26
f_1,1.27,1.07,1.0,0.87,0.87,0.66,0.45,0.51,0.38,0.43,0.31,0.36,0.27,0.34,0.24,0.36
c_1,0.81,1.13,1.14,1.0,1.36,0.69,0.49,0.58,0.41,0.32,0.44,0.31,0.37,0.33,0.35,0.34
b_1,1.12,1.03,1.14,0.73,1.0,1.23,0.58,0.5,0.44,0.43,0.42,0.37,0.44,0.36,0.43,0.36
a_1,1.3,1.35,1.53,1.47,0.81,1.0,0.68,0.66,0.55,0.65,0.53,0.77,0.43,0.51,0.45,0.43
h_1,1.73,1.97,2.25,2.03,1.85,1.51,1.0,0.96,0.79,0.75,0.77,0.8,0.83,0.6,0.62,0.76
g_1,2.18,2.89,1.9,1.8,1.95,1.71,1.05,1.0,0.99,0.91,0.97,0.88,0.57,0.72,0.75,0.73
c_0,2.27,1.77,2.55,2.25,2.39,1.88,1.24,0.99,1.0,1.23,0.9,1.28,0.8,0.95,0.81,0.82
d_0,1.67,2.3,2.35,3.2,2.23,1.45,1.35,1.08,0.81,1.0,0.88,0.98,0.85,0.85,0.78,0.81
f_0,2.14,2.41,3.19,2.16,2.43,1.83,1.39,1.01,1.08,1.13,1.0,0.99,0.96,0.84,1.37,0.69
b_0,2.3,2.83,2.81,3.14,2.39,1.47,1.28,1.14,0.77,0.99,0.91,1.0,1.06,1.28,0.85,0.75
h_0,2.57,2.97,3.79,2.83,2.2,2.32,1.22,1.72,1.26,1.21,1.04,1.0,1.0,1.05,0.88,1.12
a_0,3.26,2.72,3.09,2.94,2.97,1.99,1.62,1.4,1.09,1.21,1.23,0.81,1.08,1.0,1.05,1.04
e_0,2.68,3.0,4.15,2.64,2.5,2.17,1.57,1.31,1.19,1.2,0.73,1.16,1.19,0.98,1.0,0.96
g_0,2.87,3.75,2.8,2.91,2.75,2.56,1.31,1.35,1.21,1.23,1.38,1.29,0.9,0.96,1.12,1.0
