,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.41,0.74,0.73,0.66,0.65,0.61,0.34,0.27,0.38,0.32,0.31,0.3,0.25,0.31,0.19,0.28
f_1,0.62,0.4,0.75,0.71,0.64,0.63,0.28,0.36,0.32,0.28,0.27,0.32,0.2,0.27,0.28,0.25
e_1,0.73,0.46,0.4,0.75,0.69,0.7,0.39,0.4,0.38,0.33,0.34,0.35,0.26,0.32,0.27,0.36
c_1,0.84,0.66,0.58,0.37,0.76,0.6,0.34,0.37,0.19,0.31,0.26,0.32,0.27,0.27,0.25,0.29
b_1,0.69,0.77,0.64,0.44,0.36,0.81,0.37,0.36,0.31,0.35,0.42,0.31,0.28,0.32,0.28,0.32
a_1,0.65,0.81,0.65,0.77,0.41,0.3,0.44,0.43,0.35,0.33,0.36,0.29,0.32,0.49,0.29,0.33
h_1,0.61,0.71,0.61,0.64,0.66,0.53,0.24,0.38,0.26,0.25,0.25,0.26,0.32,0.26,0.28,0.27
g_1,0.68,0.64,0.61,0.61,0.69,0.57,0.26,0.22,0.3,0.29,0.3,0.31,0.2,0.27,0.25,0.29
d_0,0.73,0.63,0.42,0.84,0.64,0.59,0.38,0.35,0.24,0.28,0.31,0.26,0.27,0.25,0.25,0.31
c_0,0.42,0.72,0.63,1.02,0.63,0.62,0.39,0.34,0.39,0.23,0.37,0.28,0.28,0.28,0.23,0.31
b_0,0.55,0.68,0.59,0.86,0.69,0.55,0.38,0.32,0.28,0.17,0.23,0.28,0.23,0.29,0.24,0.24
f_0,0.58,0.79,0.61,0.59,0.61,0.66,0.36,0.24,0.3,0.29,0.31,0.21,0.24,0.29,0.17,0.38
h_0,0.61,0.68,0.64,0.59,0.64,0.55,0.39,0.36,0.29,0.25,0.27,0.29,0.26,0.25,0.26,0.24
a_0,0.6,0.71,0.67,0.65,0.66,0.62,0.36,0.39,0.32,0.27,0.21,0.25,0.24,0.19,0.23,0.23
g_0,0.65,0.62,0.63,0.65,0.58,0.54,0.29,0.44,0.28,0.29,0.29,0.32,0.2,0.28,0.26,0.3
e_0,0.58,0.87,0.74,0.64,0.66,0.54,0.33,0.27,0.25,0.22,0.32,0.16,0.26,0.27,0.21,0.19
