,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.73,0.83,0.75,1.01,0.85,0.67,0.95,0.95,0.83,1.53,1.05,0.98,1.01,0.78,1.14,1.02
f_1,1.24,1.76,0.76,0.79,0.69,0.69,0.9,0.89,0.93,0.99,0.68,0.98,0.92,0.71,0.83,0.97
d_1,0.8,0.87,1.96,0.72,0.69,0.75,0.96,0.95,1.69,0.7,1.03,1.27,1.07,1.06,1.02,1.02
c_1,0.73,0.82,0.75,1.96,1.36,0.84,0.95,0.88,0.55,0.88,0.97,0.69,0.97,0.89,0.93,0.92
b_1,0.73,0.79,0.84,0.75,2.22,1.48,1.01,0.92,0.92,0.85,0.98,0.62,0.93,1.16,0.94,0.72
a_1,0.81,0.88,0.92,0.75,0.74,2.72,1.02,1.1,1.01,0.89,0.92,0.95,1.1,0.95,1.03,0.61
h_1,0.91,1.13,0.93,0.86,0.7,0.79,1.76,1.34,0.96,0.95,0.96,0.99,0.86,1.16,1.21,1.03
g_1,0.86,0.8,1.27,0.8,0.61,0.87,1.02,2.05,1.05,0.94,1.5,1.08,0.87,1.16,0.9,1.04
c_0,0.88,0.89,1.04,0.76,0.66,0.81,1.01,1.12,1.53,1.08,1.15,1.95,1.07,1.19,1.01,1.51
d_0,0.85,0.92,0.64,1.49,1.02,0.73,0.96,0.91,0.61,1.36,1.04,0.85,1.04,0.93,0.99,1.11
f_0,0.75,0.79,0.92,1.04,0.95,0.79,1.08,0.94,1.02,1.06,1.71,1.25,1.13,2.08,1.18,1.06
b_0,0.84,0.92,1.03,0.96,0.75,0.65,1.05,1.14,1.08,1.03,1.19,1.9,1.19,1.27,0.97,2.39
h_0,0.85,1.03,1.0,0.92,0.79,0.79,0.8,1.22,0.97,1.01,1.04,1.02,0.9,1.0,1.38,1.06
e_0,0.6,1.09,0.95,0.89,0.85,0.97,1.19,1.13,1.13,0.79,1.06,1.14,1.05,2.14,1.05,1.0
g_0,0.75,0.78,1.23,0.88,0.86,0.82,1.16,0.75,1.09,0.84,1.55,1.05,1.01,1.39,0.9,1.15
a_0,0.83,0.92,1.04,0.97,0.93,0.61,1.05,1.02,0.88,1.04,1.07,1.07,1.14,1.14,1.04,2.17
