,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,2.48,1.22,1.13,1.16,2.05,0.95,2.42,2.32,2.19,1.34,2.87,2.08,3.52,2.7,2.41,3.09
f_1,1.27,2.49,1.32,1.86,1.04,0.93,2.16,2.36,2.48,2.51,1.61,2.7,2.83,1.59,2.79,2.92
d_1,1.07,1.31,2.53,1.13,1.2,1.18,2.58,2.16,1.98,4.33,2.84,3.44,3.31,3.02,2.81,3.09
e_1,1.42,1.1,1.12,2.55,1.28,1.24,2.18,2.42,4.38,2.55,2.93,2.76,3.59,2.21,2.83,3.8
b_1,1.01,1.32,1.19,1.21,2.65,2.29,2.67,2.11,2.66,2.56,2.67,1.71,3.33,2.52,2.51,3.03
a_1,1.58,1.45,1.15,1.09,0.95,3.29,2.25,2.79,2.8,2.77,2.8,2.83,3.41,3.53,2.12,3.73
h_1,1.35,1.72,1.39,1.29,1.15,1.45,4.0,3.22,2.77,3.0,2.63,3.02,2.87,2.6,3.0,4.39
g_1,1.27,1.24,1.94,1.21,1.32,1.09,2.47,4.36,2.74,2.84,4.4,2.93,3.15,3.45,2.9,3.17
d_0,2.29,1.34,1.01,1.16,1.36,1.25,2.38,2.48,4.0,2.1,3.4,2.78,3.47,3.16,3.14,3.71
c_0,1.39,1.44,1.29,1.31,1.04,1.29,2.81,2.81,3.21,4.18,3.25,5.58,4.1,3.63,3.41,4.15
f_0,1.48,1.09,1.58,1.16,1.4,1.44,2.75,2.17,2.63,3.02,4.38,3.54,3.72,5.47,3.57,3.49
b_0,1.49,1.67,1.38,1.33,1.05,1.06,2.69,2.69,3.17,2.53,2.54,4.38,4.28,3.29,5.68,4.07
h_0,1.28,1.74,1.43,1.33,1.22,1.23,2.25,3.51,3.08,2.84,3.06,2.76,2.93,3.04,3.25,4.63
e_0,1.41,1.92,1.51,0.86,1.44,1.18,3.08,2.7,2.47,2.3,2.38,3.01,4.18,5.09,3.04,3.72
a_0,1.47,1.43,1.59,1.24,1.29,1.14,2.75,2.82,2.74,2.64,2.5,2.28,3.74,3.04,5.0,3.95
g_0,1.53,1.22,1.83,1.15,1.36,1.15,2.16,2.07,2.7,3.1,3.98,3.06,3.52,3.01,3.17,3.13
