,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.7,0.89,0.73,1.01,0.78,0.73,0.91,1.54,0.88,0.93,1.03,0.96,1.1,1.02,0.71,0.92
f_1,1.3,1.74,0.74,0.82,0.64,0.69,1.0,1.01,0.91,0.88,0.98,0.7,0.9,0.95,0.68,0.97
d_1,0.79,0.87,2.03,0.56,0.77,0.76,1.03,0.62,1.66,1.0,1.21,1.05,1.03,1.06,1.03,1.04
c_1,0.68,0.76,0.79,2.1,1.43,0.81,0.87,0.92,0.57,0.89,0.73,0.9,0.96,0.79,0.92,0.93
b_1,0.73,0.79,0.82,0.8,2.23,1.48,0.88,0.89,0.87,1.05,0.68,1.12,0.89,0.74,1.15,0.86
a_1,0.85,0.95,0.77,0.82,0.77,2.77,1.04,1.02,0.9,0.76,0.94,0.84,1.0,0.78,1.11,1.11
h_1,0.83,1.08,1.03,0.83,0.73,0.64,1.71,0.86,1.11,1.26,1.04,1.08,0.89,1.17,1.01,1.34
d_0,0.85,0.89,0.62,1.45,0.93,0.79,0.89,1.32,0.69,0.94,0.93,0.99,1.11,0.96,0.97,1.02
c_0,0.91,1.02,1.0,0.62,0.71,0.83,1.19,0.85,1.52,1.1,1.76,1.1,1.01,1.38,1.13,1.19
g_1,0.71,0.76,1.41,0.81,0.74,0.87,1.06,0.81,1.11,2.21,1.01,1.56,1.08,0.95,1.52,0.84
b_0,0.9,0.91,1.02,0.92,0.61,0.66,1.13,0.96,1.14,1.07,1.55,1.05,1.16,1.98,1.12,1.11
f_0,0.64,0.82,1.05,1.01,0.83,0.82,1.1,0.99,1.07,1.15,1.19,1.8,1.18,1.21,2.18,1.07
h_0,0.84,1.05,0.97,0.91,0.86,0.77,0.92,0.9,1.01,1.4,1.02,1.12,0.82,1.0,1.15,1.31
a_0,0.91,0.94,0.95,0.96,0.79,0.5,1.09,0.9,0.98,1.08,0.99,1.19,1.2,2.08,1.0,1.09
e_0,0.7,0.95,0.97,0.85,0.87,0.84,1.15,0.92,1.09,1.15,1.31,1.29,1.09,1.26,2.16,1.03
g_0,0.8,0.74,1.32,0.84,0.85,0.71,1.06,0.78,1.08,0.83,1.1,1.56,1.01,1.23,1.35,0.95
