,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.15,81.09,73.62,70.95,85.21,67.69,17.92,21.38,15.93,14.38,22.04,,11.94,21.82,11.38,22.06
d_1,101.47,1.15,93.51,105.21,66.95,98.45,28.32,16.68,17.18,,15.11,18.46,9.72,16.13,8.67,18.58
e_1,58.92,112.48,1.15,82.46,117.17,74.69,23.73,28.5,18.14,18.88,17.06,18.46,11.3,14.27,15.17,
c_1,93.67,124.54,133.08,1.15,72.1,166.62,23.11,31.09,,9.29,25.19,20.68,12.67,21.82,15.17,18.58
b_1,91.32,129.15,133.08,61.02,1.15,135.38,28.32,29.74,29.68,24.16,,18.46,16.72,20.61,15.17,19.61
a_1,182.65,183.53,150.43,132.65,85.21,1.15,46.21,38.0,27.21,27.45,,,16.72,,16.55,
h_1,73.06,83.02,84.39,101.7,82.71,72.2,2.0,26.31,19.21,22.37,17.06,17.23,,16.86,15.83,18.58
g_1,192.26,112.48,138.4,138.68,133.9,114.0,27.44,2.0,20.41,18.3,29.39,17.23,12.67,30.92,,
c_0,79.41,52.83,101.76,,127.82,98.45,21.41,23.59,3.02,25.17,20.35,21.54,10.2,,14.0,16.05
d_0,81.18,,56.72,70.95,112.48,127.41,28.32,42.75,20.41,3.16,18.89,18.46,14.93,24.73,11.38,29.42
b_0,125.97,120.24,144.17,190.69,,,28.32,31.09,11.87,16.78,3.15,22.48,17.42,33.73,18.2,20.76
f_0,,81.09,144.17,122.04,117.17,,35.12,20.73,20.41,27.45,18.24,3.06,20.9,26.5,11.38,22.06
h_0,98.73,108.97,84.39,101.7,100.43,83.31,,25.33,17.65,20.83,14.69,19.15,,15.46,15.83,16.81
a_0,173.95,174.35,203.53,179.47,234.33,,67.54,36.0,,43.14,17.06,39.77,19.0,2.81,18.2,
g_0,166.05,96.86,108.12,108.96,175.75,114.0,21.95,,21.06,27.45,23.0,21.54,11.94,19.53,,20.76
e_0,182.65,183.53,,190.69,140.6,,41.81,,50.23,30.2,29.39,19.15,24.59,,18.2,3.04
