,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.31,0.91,0.98,1.03,0.9,0.85,0.98,0.86,0.94,1.09,0.79,0.88,0.78,0.89,0.93
e_1,0.76,1.0,1.0,1.1,0.99,1.11,1.01,1.24,1.45,0.99,0.93,1.18,1.04,1.09,0.92,1.07
d_1,1.1,1.0,1.0,0.95,0.94,0.85,1.06,0.73,1.07,1.37,0.97,1.01,1.04,1.06,1.16,0.87
c_1,1.02,0.91,1.05,1.0,1.33,0.89,1.02,1.11,0.76,0.83,0.85,0.81,1.11,0.99,0.92,0.93
b_1,0.97,1.01,1.07,0.75,1.0,1.58,1.14,0.84,1.03,1.14,1.34,1.06,0.98,0.87,1.0,1.05
a_1,1.11,0.9,1.17,1.12,0.63,1.0,1.15,1.36,1.01,0.97,1.03,1.18,0.94,0.93,1.05,1.09
h_1,1.24,0.93,0.97,0.97,0.93,0.83,1.0,1.12,0.94,1.07,1.09,0.99,1.05,0.88,0.98,1.28
g_1,1.01,0.81,1.31,0.96,1.14,0.77,0.89,1.0,0.86,0.83,0.96,1.23,0.86,1.01,0.91,0.79
d_0,1.19,0.65,0.93,1.4,1.03,0.99,1.09,1.08,1.0,0.76,0.99,1.02,1.04,1.06,0.98,1.18
c_0,1.05,1.06,0.73,1.38,0.92,1.01,0.98,1.26,1.28,1.0,1.52,1.0,1.24,1.24,0.88,1.13
b_0,0.96,1.07,0.99,1.12,0.88,0.96,0.92,1.04,1.1,0.67,1.0,0.94,1.01,1.53,0.93,1.04
f_0,1.24,0.85,1.03,1.21,0.9,0.88,1.01,0.79,0.93,1.02,0.99,1.0,1.03,1.15,1.36,0.89
h_0,1.14,0.95,0.98,0.89,0.96,0.99,0.92,1.21,1.0,0.76,0.99,1.04,1.0,0.89,0.97,1.13
a_0,1.23,0.9,0.89,1.05,1.13,0.97,1.18,1.04,0.94,0.8,0.69,0.86,1.1,1.0,1.1,1.12
e_0,1.2,1.04,0.83,1.06,1.04,0.97,1.04,1.1,0.95,1.07,1.08,0.74,1.03,0.88,1.0,0.92
g_0,1.06,0.9,1.14,1.08,0.92,0.85,0.79,1.2,0.87,0.87,1.02,1.09,0.9,0.85,1.05,1.0
