,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.41,0.77,0.83,0.85,0.82,0.7,0.34,0.4,0.35,0.37,0.36,0.46,0.28,0.36,0.32,0.37
d_1,0.88,0.4,0.84,0.78,0.8,0.71,0.44,0.32,0.4,0.64,0.34,0.36,0.29,0.41,0.25,0.34
e_1,0.57,0.83,0.4,0.92,0.88,0.73,0.47,0.52,0.41,0.46,0.39,0.42,0.32,0.35,0.36,0.47
c_1,0.75,0.97,0.7,0.38,0.92,0.88,0.44,0.44,0.45,0.22,0.29,0.36,0.29,0.32,0.29,0.37
b_1,0.87,0.8,0.84,0.52,0.36,1.04,0.46,0.45,0.41,0.37,0.61,0.36,0.34,0.39,0.33,0.39
a_1,0.91,0.85,0.91,0.81,0.48,0.32,0.47,0.5,0.36,0.38,0.54,0.36,0.31,0.66,0.33,0.31
h_1,0.79,0.66,0.72,0.74,0.69,0.66,0.25,0.4,0.33,0.34,0.34,0.32,0.33,0.3,0.28,0.3
g_1,0.88,0.77,0.68,0.76,0.72,0.64,0.33,0.23,0.3,0.27,0.3,0.32,0.24,0.31,0.3,0.33
c_0,0.74,0.48,0.72,1.14,0.78,0.79,0.4,0.4,0.25,0.41,0.4,0.36,0.27,0.35,0.25,0.34
d_0,0.7,0.85,0.44,0.96,0.8,0.75,0.44,0.49,0.31,0.24,0.32,0.33,0.28,0.31,0.29,0.37
b_0,0.81,0.61,0.68,1.03,1.01,0.62,0.38,0.35,0.19,0.31,0.22,0.31,0.28,0.41,0.29,0.31
f_0,0.93,0.68,0.65,0.8,0.71,0.77,0.4,0.29,0.3,0.32,0.3,0.22,0.29,0.27,0.2,0.35
h_0,0.72,0.73,0.64,0.8,0.75,0.63,0.5,0.37,0.32,0.33,0.31,0.31,0.35,0.26,0.31,0.28
a_0,0.78,0.66,0.72,0.79,0.86,0.8,0.38,0.36,0.29,0.35,0.17,0.32,0.28,0.19,0.25,0.34
g_0,0.8,0.65,0.69,0.74,0.79,0.67,0.33,0.49,0.33,0.33,0.29,0.35,0.21,0.31,0.33,0.32
e_0,0.91,0.73,0.99,0.71,0.65,0.77,0.41,0.34,0.28,0.29,0.33,0.19,0.28,0.28,0.24,0.19
