,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,12.24,0.73,0.63,0.51,0.65,0.65,0.95,1.05,2.81,1.51,0.65,1.02,1.1,1.07,1.04,1.08
f_1,0.65,11.69,1.98,0.64,0.58,0.67,0.95,0.76,0.68,0.82,1.01,0.57,0.77,0.89,0.63,0.77
e_1,0.5,0.74,10.58,1.08,0.69,0.65,0.9,0.92,0.81,0.82,2.56,0.91,1.01,0.86,0.72,0.85
c_1,0.73,0.64,0.54,11.29,2.0,0.73,0.92,0.86,0.55,0.6,0.8,1.07,0.8,0.9,0.92,0.92
b_1,0.77,0.7,0.65,0.69,12.37,1.82,0.85,0.78,0.82,0.62,0.6,0.91,0.97,0.78,0.99,1.03
a_1,0.74,0.83,0.69,0.74,0.56,17.45,1.04,1.02,0.97,1.22,0.96,0.85,1.18,0.85,1.06,1.0
h_1,0.98,1.3,0.69,0.71,0.65,0.75,3.06,1.4,0.85,1.01,0.69,1.02,0.75,1.07,0.97,1.63
g_1,1.74,0.7,0.54,0.66,0.66,0.64,0.91,3.85,1.35,1.09,0.72,2.21,1.3,0.97,1.41,0.81
c_0,0.93,0.83,0.72,0.68,0.49,0.71,1.08,1.2,2.18,3.64,1.19,1.3,1.5,1.75,1.26,1.36
b_0,0.85,0.93,0.78,0.89,0.54,0.56,1.32,1.19,0.98,2.33,1.2,1.33,1.24,2.6,1.34,1.12
d_0,0.41,0.72,0.67,2.7,1.02,0.59,1.13,1.02,0.64,0.88,2.06,1.25,0.95,1.02,1.19,0.98
f_0,1.01,0.64,0.46,0.96,0.83,0.8,1.07,1.25,1.16,1.51,1.0,2.73,1.46,1.04,3.53,1.36
h_0,1.11,0.98,0.63,0.84,0.72,0.62,0.79,1.74,1.04,1.16,0.94,1.32,0.8,1.03,1.5,1.59
a_0,1.06,0.79,0.71,0.92,0.8,0.5,1.17,1.06,1.0,1.16,1.04,1.35,1.51,2.92,1.02,1.47
e_0,1.24,0.86,0.45,1.06,0.8,0.63,1.2,1.3,1.09,1.51,0.8,1.05,1.56,1.46,3.38,1.67
g_0,1.74,0.6,0.6,0.83,0.74,0.68,1.24,0.83,1.0,1.08,0.72,1.96,1.01,0.94,1.2,0.81
