,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,3.56,0.44,0.47,0.35,0.43,0.32,0.68,1.43,0.72,1.02,0.65,0.86,0.99,0.91,0.21,0.8
f_1,0.76,3.59,0.41,0.35,0.37,0.35,0.66,0.66,0.73,0.62,0.65,0.17,0.79,0.96,0.71,0.78
c_1,0.41,0.36,4.12,0.44,0.78,0.39,0.82,0.69,0.13,0.46,0.59,0.72,0.78,0.62,1.07,0.96
d_1,0.38,0.4,0.22,4.51,0.38,0.43,0.8,0.24,1.46,1.18,0.9,0.98,0.97,0.8,0.92,1.03
b_1,0.3,0.44,0.45,0.42,4.94,0.76,0.73,0.93,0.74,0.21,0.51,0.86,0.76,0.7,0.77,0.82
a_1,0.29,0.44,0.42,0.4,0.34,7.1,0.82,0.96,1.08,0.9,0.75,0.9,1.25,0.21,1.02,0.69
h_1,0.62,1.02,0.76,0.74,0.5,0.67,5.18,0.97,1.25,1.29,1.76,1.54,0.34,0.93,1.61,1.61
d_0,0.78,0.65,1.48,0.22,0.53,0.47,1.29,3.68,1.23,1.64,1.37,1.27,1.52,1.45,1.39,1.81
c_0,0.7,0.92,0.29,0.89,0.64,0.59,1.47,1.35,4.14,2.45,1.39,1.74,1.67,1.52,1.44,1.38
b_0,0.96,0.76,0.72,0.59,0.21,0.51,1.47,1.64,1.83,4.99,1.37,1.32,1.5,2.99,1.14,1.78
g_1,0.55,0.73,0.69,1.03,0.54,0.58,1.57,1.17,1.57,1.62,8.15,2.16,1.35,1.73,1.41,0.72
f_0,0.56,0.39,0.79,0.9,0.57,0.8,1.42,1.7,1.61,1.83,2.01,5.86,2.15,1.52,3.1,1.99
h_0,0.62,0.88,0.82,0.76,0.43,0.76,0.63,1.23,1.66,1.39,1.72,1.52,0.75,1.45,1.42,2.03
a_0,0.65,0.63,0.79,0.77,0.6,0.23,1.54,1.76,1.4,1.78,2.07,1.91,1.44,6.37,1.7,1.74
e_0,0.27,0.9,0.66,0.96,0.75,0.72,1.49,1.02,1.72,1.59,1.97,1.86,2.17,1.53,6.41,1.63
g_0,0.45,0.57,0.79,1.21,0.76,0.53,1.18,1.3,1.74,1.19,,2.33,1.57,1.35,1.41,0.66
