,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,11.55,1.65,0.59,0.62,0.53,0.49,0.86,0.87,0.8,0.84,0.51,0.93,0.91,0.65,0.77,0.8
e_1,0.72,11.62,0.88,0.58,0.58,0.62,0.97,2.19,0.92,0.93,1.02,0.97,1.09,0.74,1.02,0.77
c_1,0.69,0.43,13.99,0.65,1.72,0.71,0.81,0.69,0.84,0.37,0.85,0.62,0.88,0.81,0.9,1.05
d_1,0.6,0.63,0.43,16.62,0.56,0.67,1.01,0.52,1.07,2.86,1.29,1.29,0.96,1.14,0.96,1.03
b_1,0.66,0.55,0.68,0.6,15.08,1.73,0.86,0.99,0.87,0.72,0.86,0.47,1.02,0.95,0.88,1.04
a_1,0.7,0.57,0.85,0.77,0.63,20.94,0.88,0.99,0.77,0.79,0.9,0.89,1.06,1.04,0.68,0.94
h_1,1.2,0.68,0.94,0.76,0.62,0.56,3.95,0.81,1.54,0.97,0.98,1.22,0.68,0.89,0.96,1.45
d_0,0.79,0.62,1.95,0.47,0.81,0.73,1.17,2.12,0.88,0.78,1.3,1.05,0.98,0.91,0.94,1.3
g_1,0.69,0.61,0.61,1.74,0.63,0.58,1.03,0.77,4.71,1.0,2.17,1.23,1.09,1.34,1.41,0.8
c_0,0.77,0.89,0.49,0.88,0.57,0.61,1.21,1.01,1.48,2.59,1.34,3.71,1.22,1.56,1.58,1.23
f_0,0.47,0.45,0.82,0.95,0.91,0.93,1.32,1.13,1.09,1.43,3.06,1.28,1.17,3.91,1.12,1.45
b_0,0.9,0.81,0.87,0.92,0.46,0.57,1.2,0.89,1.38,0.96,1.07,3.21,1.22,1.27,2.92,1.45
h_0,1.27,0.66,0.73,0.78,0.72,0.74,0.84,1.02,1.43,0.93,1.02,1.24,0.86,1.33,1.17,1.56
e_0,0.62,0.48,0.93,0.88,0.92,0.69,1.45,1.26,1.27,1.1,1.36,1.52,1.49,3.92,1.58,1.66
a_0,1.14,0.66,0.84,0.84,0.72,0.41,1.05,1.03,1.0,1.02,1.18,1.2,1.5,1.24,3.9,1.32
g_0,0.39,0.65,0.74,1.63,0.84,0.77,1.09,0.7,0.8,1.25,2.33,1.36,1.17,1.5,1.03,0.96
