,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,16.08,1.18,0.49,0.46,0.4,0.43,0.88,0.7,0.84,0.85,1.01,0.36,0.93,1.05,0.75,0.89
e_1,0.58,16.47,0.39,0.69,0.59,0.47,0.69,0.76,2.31,0.99,1.05,1.13,1.0,0.95,0.49,0.98
d_1,0.54,0.43,20.01,0.44,0.51,0.49,1.15,0.97,0.35,1.82,1.08,1.08,1.1,1.09,1.01,1.01
c_1,0.5,0.4,0.59,21.31,1.28,0.38,0.91,0.85,0.77,0.2,0.71,0.99,1.02,0.95,0.94,0.79
b_1,0.5,0.5,0.52,0.55,22.16,1.45,0.72,0.8,0.66,0.79,0.26,0.82,0.71,0.47,0.89,0.77
a_1,0.5,0.57,0.62,0.56,0.5,33.06,0.91,0.62,0.87,1.08,0.85,0.73,1.12,0.24,1.18,1.15
h_1,1.28,0.42,0.76,0.57,0.66,0.63,5.14,1.65,0.75,1.06,1.35,0.93,0.49,1.06,1.11,1.73
g_1,0.53,0.61,1.41,0.65,0.5,0.76,0.92,6.89,0.68,0.99,0.91,1.98,1.07,0.96,1.54,0.72
d_0,0.68,0.7,0.31,1.96,0.6,0.57,1.07,0.96,3.22,0.74,1.25,1.1,1.17,1.26,0.95,1.23
c_0,0.77,0.62,0.85,0.35,0.52,0.7,1.32,1.13,1.37,3.24,3.34,1.63,1.21,1.55,1.38,1.54
b_0,0.93,0.62,0.88,0.67,0.19,0.55,1.19,1.39,1.1,1.37,3.63,1.35,1.27,3.05,1.17,1.22
f_0,0.29,0.46,0.88,0.88,0.67,0.87,1.59,1.52,1.39,1.3,1.42,4.56,1.4,1.41,3.6,1.41
h_0,1.07,0.56,0.81,0.88,0.58,0.62,0.63,1.95,1.08,1.14,1.09,1.12,0.75,1.25,1.31,1.65
a_0,0.82,0.64,0.79,0.76,0.62,0.34,1.03,1.65,1.17,1.09,1.17,1.14,1.45,5.39,1.01,1.02
e_0,0.91,0.33,0.67,0.76,0.53,0.86,1.27,1.69,1.24,1.61,1.62,1.71,1.67,1.1,5.47,1.32
g_0,0.53,0.43,1.57,0.79,0.67,0.56,0.94,1.03,0.92,1.12,1.25,2.13,1.4,1.07,1.08,0.88
