,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.41,0.81,1.35,1.42,1.24,1.4,0.76,0.65,0.64,0.75,0.64,0.65,0.57,0.58,1.21,0.66
f_1,1.42,0.41,1.33,0.92,1.52,1.1,0.59,0.7,0.59,0.83,0.6,1.29,0.52,0.37,0.55,0.52
c_1,1.21,1.19,0.4,1.55,1.45,1.3,0.83,0.33,0.99,0.77,0.63,0.49,0.57,0.45,0.52,0.5
d_1,1.5,1.86,1.24,0.39,1.28,1.12,0.59,1.31,0.65,0.44,0.52,0.55,0.61,0.52,0.48,0.33
b_1,1.53,1.34,0.78,1.35,0.37,1.81,0.67,0.65,0.58,0.73,1.04,0.7,0.61,0.52,0.48,0.55
a_1,1.31,1.51,1.8,1.51,0.73,0.3,0.65,0.6,0.5,0.79,0.52,0.82,,0.59,0.68,0.47
h_1,1.04,1.15,0.92,0.93,0.85,0.9,0.26,0.45,0.45,0.57,0.41,0.4,0.4,0.49,0.51,0.44
d_0,0.59,0.91,1.38,1.56,0.87,1.14,0.64,0.28,0.44,0.51,0.43,0.41,0.38,0.42,0.43,0.38
c_0,0.86,0.97,2.0,0.6,1.01,1.16,0.57,0.5,0.28,0.56,0.55,0.39,0.44,0.39,0.55,0.35
g_1,1.01,1.09,0.88,1.01,1.06,1.02,0.39,0.54,0.37,0.23,0.4,0.44,0.36,0.33,0.43,0.52
b_0,0.8,0.99,1.01,1.08,2.0,0.89,0.52,0.39,0.27,0.53,0.26,0.35,0.56,0.34,0.43,0.35
f_0,0.82,1.76,1.08,0.97,0.95,0.77,0.5,0.42,0.39,0.37,0.51,0.24,0.48,0.33,0.49,0.27
a_0,0.86,1.07,1.1,1.03,1.06,,0.54,0.44,0.45,0.6,0.25,0.38,0.22,0.37,0.43,0.43
h_0,0.82,1.04,1.09,0.9,0.98,0.8,0.81,0.39,0.46,0.56,0.49,0.5,0.46,0.59,0.42,0.35
e_0,1.54,1.32,0.87,1.17,1.08,0.64,0.49,0.48,0.37,0.57,0.38,0.23,0.41,0.34,0.2,0.34
g_0,0.75,1.1,0.98,1.06,0.92,1.04,0.37,0.47,0.37,0.74,0.39,0.46,0.39,0.3,0.43,0.52
