,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,87.61,9.98,16.17,18.96,38.0,90.9,2195.47,5877.25,4863.01,10295.58,9230.66,16093.82,29880.24,29398.9,,42609.59
f_1,17.13,88.73,17.95,19.2,27.81,91.93,1940.88,4054.06,5689.58,8277.84,8860.02,,24367.52,28970.98,26212.83,54899.92
c_1,10.52,9.24,127.22,24.35,41.63,73.39,2422.1,2582.4,,5692.28,8378.32,11575.62,21917.31,14767.06,33276.82,46882.28
d_1,8.37,8.62,6.3,154.0,23.88,86.68,2113.66,,6487.17,10993.34,6996.71,12862.65,23949.3,17734.47,27205.76,42987.43
b_1,5.95,8.36,10.37,17.09,204.83,109.5,1959.72,3715.28,3875.53,,5019.66,11309.85,18862.43,14751.12,17224.64,36150.89
a_1,3.91,5.33,7.47,8.43,9.93,512.83,1218.89,2562.26,3960.16,,4621.66,7785.47,17536.85,,16205.41,21191.34
h_1,4.53,5.91,6.49,8.42,9.93,33.59,3442.49,1570.1,2175.76,3585.38,3943.5,6757.4,,8902.69,12148.4,25164.0
d_0,4.22,3.75,12.1,,9.96,27.5,938.82,3903.63,2782.95,4422.98,4232.84,4652.52,11104.94,8962.16,,23759.19
c_0,4.19,4.62,,7.81,10.08,19.7,876.52,1318.25,5684.73,4764.18,3028.27,4844.9,10067.33,9682.97,9433.42,15928.09
b_0,4.01,3.46,5.54,5.46,,,758.11,1138.03,1759.85,8845.14,2691.89,3686.4,7871.58,9944.71,,16800.0
g_1,2.21,2.53,3.62,7.24,7.45,23.67,666.94,910.95,1693.34,3001.47,11064.63,4272.15,6078.0,,6798.31,
f_0,2.03,,4.23,4.64,6.05,25.32,558.29,1338.2,1928.46,3361.52,2784.16,11488.3,9178.63,6631.22,11094.96,11512.67
h_0,2.57,3.46,5.63,6.36,6.11,27.52,,1037.17,2004.68,3186.85,3303.41,3365.46,,6938.01,6984.02,15997.53
a_0,1.8,2.04,4.13,5.32,7.03,,497.36,985.12,1282.17,2323.46,,3692.65,5454.61,17828.61,6591.65,11515.94
e_0,,2.77,2.73,4.22,6.67,19.36,535.91,,1626.52,,2354.07,3108.27,7403.56,5266.92,20603.21,9222.16
g_0,1.99,1.91,4.1,5.79,7.69,18.21,526.02,758.48,1720.01,1877.26,,4756.61,6428.8,5259.16,6160.83,
