,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.24,1.49,1.54,1.76,3.33,17.79,23.31,31.21,36.17,46.97,44.91,83.89,91.99,115.23,134.9
e_1,0.81,1.0,1.23,1.29,1.83,3.28,19.37,41.37,42.07,37.44,53.76,65.86,107.21,152.61,133.54,152.64
c_1,0.67,0.81,1.0,1.51,2.16,2.84,14.83,15.02,26.25,22.79,34.53,37.9,68.03,62.36,70.23,120.75
d_1,0.65,0.77,0.66,1.0,0.99,1.71,12.85,16.62,16.68,32.18,35.14,31.12,65.25,75.48,66.21,76.72
b_1,0.57,0.55,0.46,1.01,1.0,3.23,9.27,17.14,16.76,24.15,28.86,33.39,52.23,59.03,48.74,73.82
a_1,0.3,0.3,0.35,0.59,0.31,1.0,5.85,10.26,10.36,10.99,15.75,16.66,30.78,33.08,31.82,48.71
h_1,0.06,0.05,0.07,0.08,0.11,0.16,1.0,1.34,2.06,1.99,2.31,2.6,5.11,5.44,4.78,7.73
d_0,0.04,0.02,0.07,0.07,0.06,0.09,0.76,1.0,1.39,1.45,1.87,1.76,3.56,4.39,4.08,5.75
g_1,0.03,0.02,0.04,0.06,0.06,0.1,0.49,0.73,1.0,1.19,1.53,1.94,2.31,3.41,3.18,3.63
c_0,0.03,0.03,0.05,0.03,0.04,0.08,0.48,0.76,0.83,1.0,2.08,1.69,2.31,2.53,3.32,3.63
b_0,0.02,0.02,0.03,0.03,0.04,0.06,0.48,0.53,0.64,0.49,1.0,1.15,1.73,2.29,2.88,2.99
f_0,0.02,0.02,0.03,0.03,0.03,0.06,0.37,0.54,0.52,0.59,0.89,1.0,1.78,2.38,1.78,2.15
h_0,0.01,0.01,0.02,0.02,0.02,0.03,0.19,0.27,0.42,0.45,0.58,0.56,1.0,1.21,1.04,1.96
e_0,0.01,0.01,0.02,0.01,0.02,0.03,0.19,0.21,0.29,0.38,0.44,0.45,0.82,1.0,0.95,1.35
a_0,0.01,0.01,0.01,0.01,0.02,0.03,0.2,0.25,0.32,0.3,0.34,0.55,0.98,1.08,1.0,1.58
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.13,0.18,0.24,0.24,0.3,0.46,0.51,0.71,0.57,1.0
