,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,0.44,3.77,4.44,4.21,5.24,4.08,0.86,1.44,0.94,0.75,0.75,2.55,0.75,0.37,0.74,0.79
e_1,2.45,0.44,5.08,3.8,4.62,4.07,1.37,1.31,1.02,0.92,0.94,1.08,0.89,0.72,0.61,3.15
d_1,4.04,5.47,0.43,4.7,4.35,3.87,1.34,0.64,3.32,0.89,0.97,0.91,0.89,0.75,0.42,1.02
c_1,3.99,4.99,5.34,0.42,4.54,5.19,1.2,1.18,0.48,3.2,0.87,0.81,0.9,0.61,0.69,0.74
b_1,4.78,5.2,5.39,2.61,0.39,5.22,1.69,1.72,1.14,1.2,2.96,0.96,1.2,0.75,0.76,1.08
a_1,7.18,6.71,4.81,6.63,2.73,0.34,1.89,2.18,1.21,1.41,1.22,1.02,8.9,1.17,0.76,1.3
h_1,6.01,4.5,5.01,6.01,4.98,3.89,0.35,1.61,0.98,1.09,0.93,0.87,1.1,2.58,0.76,1.06
g_1,6.67,5.5,5.18,6.6,6.0,5.01,1.28,0.32,1.19,1.03,1.12,1.04,1.02,0.6,2.29,1.34
d_0,6.91,2.82,16.07,6.71,5.08,6.02,1.35,2.49,0.46,1.3,1.09,0.97,1.09,1.04,0.72,0.93
c_0,7.89,4.92,2.68,21.99,7.14,4.95,1.38,1.92,1.27,0.42,1.53,1.14,1.26,0.85,0.85,0.84
b_0,6.19,4.66,4.57,7.68,18.22,6.49,1.99,1.92,1.36,0.63,0.42,1.11,1.47,0.95,1.19,0.98
f_0,15.11,5.12,6.15,6.03,4.88,9.57,1.77,1.36,1.16,1.15,1.56,0.4,1.37,0.96,0.62,1.93
a_0,7.98,5.68,6.76,7.0,9.84,,2.54,2.44,1.27,1.1,0.71,1.27,0.36,0.85,0.89,1.2
h_0,7.56,6.88,5.36,7.2,7.7,7.23,5.17,2.49,1.46,1.4,1.23,1.4,1.36,1.9,1.23,1.43
g_0,7.66,7.36,7.81,8.73,8.43,8.38,1.68,4.67,1.69,1.75,1.45,1.5,1.65,0.84,2.73,1.31
e_0,13.14,14.45,5.85,8.15,7.27,8.09,1.88,2.09,1.33,1.57,1.33,0.61,1.97,1.16,0.95,0.32
