,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.47,0.12,0.13,0.16,0.17,0.11,0.19,0.3,0.21,0.16,0.18,0.2,0.26,0.18,,0.22
f_1,0.28,1.49,0.14,0.17,0.1,0.11,0.2,0.2,0.22,0.14,0.23,,0.19,0.18,0.15,0.26
d_1,0.21,0.2,1.53,0.12,0.19,0.15,0.22,,0.29,0.16,0.18,0.21,0.2,0.17,0.12,0.16
c_1,0.21,0.14,0.22,1.56,0.26,0.13,0.17,0.18,,0.17,0.19,0.2,0.25,0.16,0.15,0.18
b_1,0.15,0.24,0.14,0.15,1.61,0.26,0.21,0.27,0.21,0.23,,0.18,0.17,,0.17,0.16
a_1,0.22,0.23,0.17,0.17,0.11,1.73,0.31,0.25,0.13,0.15,0.2,,0.22,,0.27,
h_1,0.39,0.56,0.36,0.38,0.37,0.24,1.63,0.43,0.41,0.54,0.47,0.42,,0.31,0.37,0.58
d_0,0.44,0.54,,0.77,0.43,0.35,0.46,1.4,0.59,0.44,0.47,0.64,0.56,0.46,0.34,0.45
c_0,0.47,0.53,0.45,,0.38,0.52,0.57,0.43,1.43,0.53,0.8,0.45,0.64,0.33,0.38,0.54
g_1,0.39,0.39,0.66,0.36,0.27,0.31,0.4,0.53,0.43,1.73,0.43,0.57,0.48,0.36,0.41,
b_0,0.55,0.41,0.48,0.41,,0.44,0.61,0.68,0.5,0.47,1.45,0.52,0.6,,0.39,0.39
f_0,0.45,,0.38,0.54,0.38,,0.51,0.49,0.69,0.47,0.65,1.47,0.52,0.38,0.89,0.53
h_0,0.53,0.71,0.62,0.48,0.57,0.49,,0.86,0.74,0.74,0.64,0.72,,0.58,0.57,0.93
a_0,0.42,0.51,0.37,0.58,,,0.81,0.6,0.68,0.62,,0.68,0.73,1.63,,0.69
e_0,,0.5,0.6,0.4,0.57,0.35,0.47,0.59,0.75,0.63,0.68,0.4,0.8,,1.65,0.52
g_0,0.48,0.42,0.9,0.58,0.75,,0.66,0.7,0.73,,0.89,1.08,0.63,0.56,0.57,
