,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,1.0,0.97,0.81,1.14,0.96,0.78,0.75,0.89,0.65,0.81,0.68,0.73,0.57,0.64,0.65,0.61
d_1,1.01,1.0,1.09,0.93,0.89,0.82,0.67,0.73,0.82,0.55,0.72,0.58,0.61,0.48,0.61,0.58
f_1,1.26,0.91,1.0,1.04,0.87,0.8,0.59,0.68,0.61,0.67,0.58,0.58,0.55,0.59,0.48,0.53
c_1,0.89,1.06,0.96,1.0,1.29,0.87,0.73,0.46,0.64,0.66,0.51,0.61,0.58,0.55,0.55,0.48
b_1,1.03,1.13,1.11,0.78,1.0,1.35,0.78,0.66,0.72,0.69,0.65,0.65,0.68,0.64,0.58,0.55
a_1,1.25,1.22,1.25,1.17,0.76,1.0,0.87,0.82,0.73,0.8,0.88,0.79,0.74,0.71,0.7,0.62
h_1,1.35,1.51,1.7,1.36,1.23,1.08,1.0,0.89,0.87,1.08,0.87,0.83,0.8,0.87,0.75,0.78
d_0,1.13,1.36,1.48,2.12,1.57,1.17,1.17,1.0,0.8,1.09,0.94,0.93,0.88,0.81,0.85,0.87
c_0,1.59,1.26,1.66,1.65,1.39,1.29,1.08,1.24,1.0,0.93,1.23,0.99,0.97,0.84,0.88,0.95
g_1,1.23,1.79,1.48,1.48,1.48,1.23,0.95,0.96,1.01,1.0,1.04,1.08,0.79,0.86,0.9,0.82
b_0,1.5,1.39,1.8,1.86,1.53,1.1,1.14,1.01,0.8,0.96,1.0,0.89,0.93,0.93,0.78,1.12
f_0,1.36,1.64,1.68,1.66,1.54,1.25,1.17,1.08,1.03,0.91,1.11,1.0,0.97,0.82,1.12,0.93
h_0,1.7,1.62,1.84,1.73,1.47,1.31,1.2,1.15,0.98,1.27,1.04,1.04,1.0,1.08,0.83,0.86
g_0,1.56,2.1,1.7,1.83,1.58,1.36,1.11,1.17,1.13,1.17,1.05,1.26,0.91,1.0,0.99,0.92
e_0,1.61,1.66,2.13,1.78,1.66,1.37,1.29,1.18,1.15,1.05,1.24,0.93,1.14,1.02,1.0,1.01
a_0,1.73,1.65,1.9,2.09,1.74,1.71,1.37,1.17,1.03,1.28,0.93,1.12,1.18,1.1,0.97,1.0
