,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,94.79,86.68,72.94,92.86,123.08,277.56,7579.93,17213.61,17125.25,20341.11,24596.4,33038.18,74764.87,85582.2,170689.14,127964.14
e_1,39.97,105.01,63.45,96.84,143.75,351.8,8181.4,15025.49,31583.87,25157.91,28899.57,49835.12,69238.71,91618.77,185535.5,131813.21
d_1,46.59,43.2,133.03,72.08,114.67,280.79,8674.97,13609.42,11522.53,34712.25,29209.62,41138.94,77173.62,87158.68,140590.37,171230.65
c_1,42.04,42.93,54.86,155.27,172.85,269.34,7541.41,12054.07,12283.97,14447.72,16241.44,40336.95,63593.17,89237.12,133825.15,135411.18
b_1,36.02,37.51,48.2,58.04,217.8,416.84,6926.88,10905.97,13773.5,17911.64,12054.54,28969.94,66190.09,53458.71,145691.98,133982.16
a_1,30.95,26.21,43.93,45.73,60.68,469.16,5058.64,9465.42,10010.65,15017.78,15884.77,25146.27,53689.34,41281.07,93955.8,92914.61
h_1,15.86,12.69,18.44,21.66,27.78,64.63,3349.03,5181.57,4820.51,6168.97,6523.93,9713.21,14522.9,22474.03,59601.89,44253.44
g_1,9.09,10.37,20.02,18.29,25.15,62.96,1628.6,5472.79,3598.56,4930.56,5129.17,12141.96,14448.02,19953.85,29564.49,36032.86
d_0,10.22,8.52,11.14,30.53,24.24,64.85,1727.56,2775.97,5168.73,3805.14,5871.02,7907.9,15260.03,19029.78,36221.73,45747.36
c_0,10.48,8.72,13.54,13.44,17.09,52.16,1709.39,3294.98,3438.16,6440.05,8366.94,7333.68,17035.12,20951.38,39155.05,41583.44
b_0,9.77,8.79,13.39,18.55,17.31,50.56,1764.48,3403.61,3300.82,3908.87,6986.15,7417.92,14268.76,29825.12,33506.66,34436.82
f_0,5.8,6.04,12.95,13.95,20.02,51.17,1418.0,2030.83,3052.99,4829.03,4483.56,10354.54,11951.34,15110.08,28060.93,51019.31
h_0,8.57,7.14,9.97,11.8,16.11,37.09,902.81,2659.1,2322.16,2886.26,3630.37,5662.19,9057.18,12359.14,30808.74,21112.26
a_0,7.16,5.45,9.13,10.03,15.58,26.71,1170.52,1879.46,2137.01,2536.9,2814.69,5595.34,10305.02,18314.57,22495.23,25011.33
g_0,4.4,4.46,10.62,9.08,12.29,30.6,682.18,1384.31,1854.6,2346.06,3019.39,6758.6,7467.42,10008.09,16837.31,20023.21
e_0,6.45,4.43,6.38,10.06,10.71,29.82,909.94,1615.37,1740.22,2215.67,2939.74,3400.88,9804.04,11051.14,19193.54,29449.53
