,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,2.36,0.64,0.49,0.43,0.51,0.43,1.01,1.07,2.28,1.47,0.57,1.25,1.5,1.01,1.08,1.55
f_1,0.52,2.35,1.06,0.48,0.45,0.49,1.03,0.77,0.94,1.16,1.07,0.41,1.19,0.93,0.75,1.09
e_1,0.51,0.64,2.36,0.7,0.52,0.4,1.0,0.81,1.06,1.09,2.32,1.06,1.43,0.89,0.42,1.05
c_1,0.58,0.51,0.51,2.47,1.05,0.39,0.96,1.02,0.48,0.84,1.25,1.31,1.34,0.93,0.9,1.22
b_1,0.58,0.64,0.54,0.49,2.6,0.9,0.99,0.81,1.13,0.58,0.85,1.06,1.39,0.91,0.89,1.36
a_1,0.62,0.59,0.63,0.61,0.36,2.96,1.17,0.98,1.24,1.49,1.32,0.89,1.91,0.66,1.27,1.26
h_1,0.82,0.98,0.59,0.65,0.52,0.49,3.04,1.52,1.34,1.41,1.06,1.19,1.04,1.19,1.11,2.31
g_1,1.16,0.6,0.59,0.58,0.53,0.5,1.17,3.35,1.53,1.3,1.08,2.24,2.03,1.16,1.27,0.96
c_0,0.8,0.78,0.67,0.46,0.47,0.57,1.38,1.15,2.81,3.05,1.49,1.6,2.01,1.58,1.23,1.65
b_0,0.72,0.8,0.68,0.79,0.4,0.4,1.44,1.33,1.4,2.72,1.51,1.47,2.13,2.22,1.34,1.54
d_0,0.37,0.6,0.72,1.53,0.65,0.43,1.39,1.1,1.07,1.3,2.7,1.53,1.77,1.21,1.16,1.5
f_0,0.75,0.55,0.53,0.86,0.68,0.51,1.27,1.33,1.5,1.53,1.47,2.94,2.21,1.04,2.72,1.74
h_0,0.86,0.83,0.6,0.74,0.58,0.41,0.99,1.77,1.35,1.52,1.38,1.59,1.22,1.18,1.49,2.05
a_0,0.87,0.77,0.58,0.75,0.66,0.3,1.5,1.34,1.44,1.77,1.43,1.59,2.12,3.12,1.18,2.01
e_0,0.82,0.79,0.33,0.83,0.7,0.51,1.25,1.39,1.51,1.83,1.21,1.46,2.3,1.62,3.23,1.94
g_0,1.09,0.61,0.57,0.72,0.73,0.49,1.37,0.88,1.51,1.43,1.09,2.28,1.66,1.03,1.31,1.13
