,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.42,0.59,0.93,0.91,0.9,0.83,0.56,0.39,0.59,0.52,0.45,0.5,0.34,0.43,0.72,0.38
f_1,0.93,0.41,0.84,0.87,0.81,0.89,0.35,0.4,0.47,0.36,0.37,0.57,0.26,0.37,0.33,0.33
d_1,0.86,0.92,0.4,0.89,0.87,0.93,0.48,0.47,0.38,0.6,0.35,0.36,0.33,0.36,0.45,0.24
c_1,0.76,0.95,0.95,0.37,1.03,0.75,0.47,0.62,0.54,0.24,0.42,0.37,0.33,0.37,0.39,0.35
b_1,0.89,1.0,0.9,0.56,0.35,1.12,0.52,0.41,0.37,0.41,0.41,0.38,0.33,0.38,0.42,0.36
a_1,0.98,0.89,0.79,1.13,0.51,0.31,0.55,0.44,0.44,0.44,0.57,0.43,0.48,1.3,0.4,0.47
h_1,0.71,0.92,0.74,0.81,0.77,0.71,0.25,0.31,0.53,0.38,0.38,0.36,0.4,0.34,0.3,0.35
c_0,0.82,0.87,0.52,1.14,0.89,0.77,0.47,0.25,0.44,0.39,0.4,0.36,0.33,0.37,0.34,0.3
g_1,0.78,0.97,0.83,0.73,0.93,0.68,0.3,0.34,0.22,0.34,0.34,0.4,0.23,0.37,0.29,0.36
d_0,0.49,0.81,1.03,0.97,0.85,0.93,0.42,0.34,0.52,0.26,0.4,0.3,0.32,0.34,0.39,0.33
b_0,0.77,0.8,0.79,0.79,1.42,0.67,0.4,0.23,0.4,0.35,0.24,0.35,0.27,0.5,0.33,0.29
f_0,0.72,1.28,0.81,0.86,0.76,0.65,0.39,0.32,0.3,0.37,0.33,0.23,0.33,0.38,0.39,0.24
h_0,0.74,0.84,0.78,0.76,0.77,0.63,0.55,0.31,0.53,0.32,0.39,0.32,0.4,0.3,0.29,0.32
a_0,0.73,0.83,0.77,0.95,1.05,0.73,0.46,0.29,0.39,0.38,0.2,0.32,0.34,0.21,0.29,0.28
e_0,0.94,1.09,0.66,0.84,0.73,0.62,0.38,0.34,0.43,0.33,0.34,0.21,0.32,0.32,0.2,0.26
g_0,0.73,0.85,0.85,0.75,0.76,0.71,0.32,0.34,0.65,0.29,0.36,0.38,0.25,0.36,0.34,0.36
