,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,3.98,0.41,0.33,0.41,0.79,0.24,0.86,0.72,0.8,0.14,0.89,0.52,0.93,0.81,0.67,0.75
f_1,0.44,3.98,0.48,0.7,0.33,0.25,0.79,0.76,0.63,0.75,0.13,0.92,0.83,0.43,0.86,0.7
d_1,0.34,0.4,4.16,0.29,0.38,0.33,0.8,0.82,0.24,1.7,0.89,1.11,0.86,0.97,0.84,0.91
e_1,0.43,0.4,0.3,4.2,0.4,0.4,0.63,0.64,1.68,0.69,0.84,0.81,1.11,0.21,0.74,1.07
b_1,0.36,0.44,0.31,0.4,4.54,0.86,0.84,0.61,0.87,0.71,0.86,0.15,0.81,0.95,0.74,0.67
a_1,0.54,0.36,0.35,0.35,0.35,7.05,0.66,0.77,0.81,0.79,0.82,0.7,0.93,1.09,0.14,0.91
h_1,0.59,1.05,0.74,0.6,0.48,0.79,4.98,1.53,1.13,1.56,1.45,1.55,0.48,1.13,1.43,1.86
g_1,0.57,0.53,1.15,0.62,0.56,0.57,1.35,5.89,1.22,1.46,2.42,1.43,1.35,1.78,1.68,0.66
d_0,1.4,0.73,0.26,0.75,0.6,0.61,0.94,1.27,3.65,1.12,1.44,1.47,1.29,1.28,1.37,1.48
c_0,0.34,0.77,0.94,0.68,0.5,0.69,1.39,1.45,1.36,4.19,1.73,3.37,1.67,1.83,1.87,2.18
f_0,0.64,0.26,0.96,0.66,0.78,0.92,1.17,1.24,1.23,1.63,4.66,1.8,1.47,2.97,1.56,1.65
b_0,0.63,0.97,0.81,0.78,0.2,0.51,1.13,1.58,1.62,1.61,1.33,4.6,1.76,1.76,2.89,1.74
h_0,0.66,0.95,0.71,0.7,0.68,0.72,0.41,1.98,1.48,1.29,1.43,1.38,0.73,1.34,1.73,2.01
e_0,0.77,0.91,0.72,,0.83,0.68,1.81,1.25,1.11,1.16,1.68,1.73,1.98,6.95,1.56,1.71
a_0,0.93,0.8,1.07,0.65,0.61,0.33,1.45,1.07,1.22,1.01,1.05,0.79,1.39,1.28,6.16,1.95
g_0,0.73,0.52,1.27,0.62,0.69,0.56,1.07,0.58,1.18,1.3,2.01,1.38,1.48,1.15,1.54,0.69
