,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.8,1.06,1.74,1.83,3.66,17.04,23.63,29.48,46.67,43.7,61.22,81.71,94.01,113.65,150.23
f_1,1.24,1.0,0.99,1.63,1.82,3.42,13.18,21.32,27.46,31.6,37.92,43.96,70.64,68.44,72.94,125.61
d_1,0.94,1.0,1.0,1.22,1.68,3.77,15.69,18.58,37.88,30.23,41.78,48.14,64.58,78.62,109.87,111.68
c_1,0.57,0.62,0.83,1.0,1.79,2.26,10.3,13.22,13.87,14.93,25.41,30.25,45.32,52.65,69.37,90.85
b_1,0.54,0.55,0.59,0.56,1.0,3.13,10.01,13.3,16.26,17.58,17.77,27.37,34.77,49.69,63.01,69.95
a_1,0.27,0.29,0.27,0.44,0.33,1.0,4.73,6.65,10.47,9.72,12.31,14.47,23.89,28.26,25.61,43.71
h_1,0.06,0.08,0.07,0.1,0.09,0.22,1.0,1.75,1.96,2.06,2.25,2.95,4.68,4.78,6.38,8.41
g_1,0.04,0.04,0.06,0.08,0.08,0.15,0.58,1.0,1.35,1.46,1.62,2.78,2.95,3.56,5.94,5.52
c_0,0.03,0.04,0.03,0.07,0.06,0.09,0.51,0.75,1.0,1.28,1.9,1.76,2.38,2.93,3.89,4.14
d_0,0.02,0.03,0.03,0.07,0.06,0.1,0.49,0.7,0.82,1.0,1.39,1.62,2.31,2.81,3.42,4.72
b_0,0.02,0.03,0.03,0.04,0.05,0.07,0.46,0.6,0.55,0.69,1.0,1.07,2.76,2.41,2.74,3.23
f_0,0.02,0.02,0.02,0.03,0.04,0.07,0.32,0.38,0.58,0.64,0.93,1.0,1.57,2.1,4.13,2.28
a_0,0.01,0.01,0.01,0.02,0.03,0.05,0.23,0.34,0.41,0.43,0.35,0.66,1.0,1.16,1.49,1.38
h_0,0.01,0.02,0.01,0.02,0.02,0.03,0.21,0.28,0.35,0.36,0.4,0.47,0.81,1.0,1.26,1.69
e_0,0.01,0.01,0.01,0.01,0.02,0.04,0.16,0.17,0.27,0.31,0.35,0.27,0.67,0.79,1.0,1.45
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.12,0.18,0.23,0.2,0.3,0.45,0.68,0.61,0.65,1.0
