,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,5.4,0.14,0.07,0.07,0.1,0.08,0.31,0.35,0.28,0.41,0.35,,0.55,0.33,0.3,0.62
e_1,0.09,5.79,0.06,0.07,0.06,0.05,0.29,0.77,0.35,0.5,0.25,0.43,0.48,0.33,,0.61
c_1,0.08,0.08,6.31,0.08,0.13,0.08,0.28,0.38,0.25,,0.43,0.48,0.62,0.27,0.35,0.66
d_1,0.07,0.08,0.09,6.62,0.08,0.08,0.27,,0.29,0.62,0.4,0.32,0.72,0.39,0.24,0.69
b_1,0.1,0.08,0.07,0.08,7.44,0.14,0.37,0.34,0.31,0.22,,0.41,0.67,0.23,0.27,0.7
a_1,0.08,0.06,0.08,0.08,0.08,10.49,0.33,0.4,,0.45,0.32,0.45,0.46,,,
h_1,0.4,0.26,0.3,0.35,0.23,0.24,14.08,1.49,1.34,1.54,1.92,1.22,,1.37,1.67,2.06
d_0,0.42,0.4,0.63,,0.35,0.33,1.24,11.96,1.32,1.99,1.97,2.03,4.31,1.69,2.05,2.66
g_1,0.22,0.28,0.32,0.37,0.27,,1.2,1.21,18.99,1.47,1.59,3.14,1.71,1.57,1.18,
c_0,0.31,0.3,,0.5,0.36,0.31,1.5,2.58,1.1,13.11,3.92,1.36,3.12,1.89,1.96,2.94
b_0,0.44,0.34,0.37,0.41,,0.34,1.77,1.9,0.99,1.89,13.6,1.73,3.18,,2.01,3.31
f_0,,0.39,0.36,0.41,0.46,0.4,1.69,1.58,1.42,1.12,1.73,16.15,3.41,2.67,5.88,1.6
h_0,0.77,0.62,0.5,0.6,0.53,0.69,,2.59,2.97,2.38,3.57,2.35,,3.05,2.56,5.99
a_0,0.43,0.36,0.39,0.24,0.38,,1.1,2.31,1.57,2.64,,1.33,3.75,20.7,,3.08
e_0,0.21,,0.57,0.45,0.53,,1.43,1.84,1.39,2.29,1.89,2.38,3.36,,22.28,
g_0,0.55,0.47,0.66,0.76,0.55,,2.88,2.45,,2.83,2.57,4.21,2.99,1.88,,
