,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.94,0.64,0.41,0.4,0.33,0.23,0.25,0.21,0.25,0.24,0.24,0.15,0.23,0.19,0.12,0.2
e_1,0.42,0.94,0.52,0.36,0.38,0.23,0.3,0.28,0.43,0.27,0.26,0.24,0.23,0.19,0.11,0.23
c_1,0.44,0.35,0.94,0.49,0.57,0.28,0.28,0.24,0.23,0.11,0.22,0.22,0.25,0.18,0.2,0.2
d_1,0.5,0.44,0.36,0.94,0.41,0.26,0.3,0.23,0.16,0.42,0.3,0.24,0.27,0.2,0.19,0.17
b_1,0.49,0.42,0.39,0.42,0.94,0.5,0.32,0.26,0.3,0.3,0.13,0.25,0.24,0.18,0.2,0.24
a_1,0.55,0.62,0.44,0.59,0.32,0.93,0.38,0.28,0.26,0.29,0.29,0.26,0.27,0.11,0.2,0.19
h_1,0.86,0.62,0.68,0.7,0.54,0.34,0.75,0.45,0.39,0.38,0.37,0.31,0.31,0.28,0.28,0.45
g_1,0.68,0.49,0.72,0.96,0.61,0.48,0.46,0.74,0.41,0.43,0.42,0.6,0.34,0.4,0.36,0.28
d_0,0.73,0.61,1.16,0.51,0.57,0.5,0.49,0.37,0.63,0.34,0.43,0.39,0.44,0.3,0.3,0.4
c_0,0.91,0.75,0.62,0.67,0.5,0.52,0.55,0.38,0.5,0.62,0.67,0.39,0.44,0.39,0.35,0.34
b_0,0.89,0.8,0.83,0.69,0.47,0.42,0.48,0.43,0.43,0.4,0.65,0.39,0.51,0.57,0.35,0.44
f_0,0.59,0.59,0.92,0.71,0.65,0.57,0.59,0.38,0.51,0.52,0.39,0.66,0.5,0.28,0.64,0.41
h_0,1.11,0.82,0.81,0.78,0.68,0.51,0.34,0.58,0.45,0.41,0.41,0.4,0.37,0.37,0.28,0.5
a_0,0.94,0.93,0.88,0.81,0.8,0.44,0.58,0.33,0.42,0.44,0.4,0.43,0.46,0.63,0.23,0.41
e_0,1.08,0.58,0.79,0.69,0.7,0.61,0.61,0.51,0.59,0.45,0.44,0.42,0.63,0.44,0.63,0.41
g_0,0.83,0.8,0.91,1.12,0.62,0.57,0.48,0.44,0.45,0.48,0.4,0.54,0.49,0.37,0.38,0.32
