,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.42,1.21,0.71,1.23,1.24,1.22,0.34,0.42,0.29,0.26,0.29,0.31,0.21,0.24,0.37,0.2
d_1,1.53,0.41,1.34,1.12,1.15,1.01,0.34,0.21,0.37,0.22,0.23,0.21,0.15,0.24,0.19,0.12
f_1,1.24,1.11,0.42,1.1,1.22,1.12,0.25,0.34,0.24,0.23,0.23,0.33,0.12,0.23,0.2,0.18
c_1,0.98,1.59,1.21,0.4,1.25,1.17,0.35,0.35,0.14,0.35,0.26,0.23,0.17,0.21,0.23,0.17
b_1,1.25,1.33,1.38,0.72,0.39,1.27,0.46,0.39,0.29,0.37,0.43,0.31,0.2,0.26,0.31,0.2
a_1,1.47,1.55,1.68,2.07,0.81,0.33,0.45,0.56,0.43,0.3,0.39,0.34,0.3,0.46,0.39,0.23
h_1,2.01,1.99,2.47,2.49,1.82,2.03,0.3,0.64,0.48,0.44,0.47,0.43,0.46,0.38,0.41,0.31
g_1,2.68,2.23,2.53,2.33,2.23,1.86,0.46,0.29,0.46,0.46,0.43,0.43,0.26,0.38,0.46,0.38
d_0,1.36,3.86,2.48,2.61,2.46,2.29,0.74,0.92,0.34,0.56,0.59,0.46,0.34,0.52,0.5,0.35
c_0,2.51,1.45,2.45,3.86,2.57,2.13,0.66,0.63,0.78,0.33,0.53,0.56,0.39,0.5,0.48,0.35
b_0,2.27,1.98,2.46,3.87,4.16,2.12,0.66,0.71,0.56,0.26,0.31,0.48,0.35,0.41,0.45,0.35
f_0,2.72,2.39,3.32,3.44,2.63,2.05,0.74,0.49,0.6,0.48,0.5,0.3,0.38,0.42,0.49,0.23
h_0,3.17,3.32,2.77,2.85,2.93,2.82,1.02,0.85,0.58,0.6,0.62,0.56,0.58,0.53,0.46,0.39
a_0,2.99,2.78,3.05,3.17,4.73,3.84,0.95,0.96,0.71,0.51,0.35,0.61,0.45,0.3,0.6,0.38
e_0,3.76,3.02,3.98,3.57,3.73,2.97,0.98,0.81,0.67,0.66,0.63,0.31,0.41,0.54,0.28,0.33
g_0,3.81,3.39,3.0,3.53,3.34,3.27,0.73,1.37,0.8,0.71,0.73,0.72,0.36,0.64,0.61,0.6
