,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.66,0.75,1.06,1.23,1.08,0.97,0.5,0.46,0.38,0.47,0.44,0.44,0.34,0.52,0.37,0.4
f_1,1.19,0.65,0.97,1.0,1.04,0.9,0.36,0.5,0.4,0.39,0.46,0.4,0.27,0.3,0.34,0.32
d_1,1.27,1.2,0.64,1.16,1.0,0.85,0.51,0.34,0.4,0.53,0.41,0.37,0.3,0.36,0.24,0.32
c_1,0.87,1.2,1.23,0.63,1.33,1.07,0.5,0.51,0.47,0.26,0.35,0.37,0.34,0.34,0.31,0.38
b_1,1.19,1.37,1.34,0.73,0.61,1.3,0.65,0.66,0.55,0.43,0.43,0.53,0.4,0.46,0.37,0.39
a_1,1.49,1.46,1.46,1.26,0.78,0.58,0.63,0.58,0.5,0.52,0.53,0.6,0.4,0.42,0.38,0.63
h_1,1.78,1.92,1.69,1.66,1.46,1.5,0.55,0.83,0.66,0.68,0.62,0.63,0.66,0.57,0.51,0.52
g_1,1.9,1.95,2.06,1.94,1.72,1.59,0.67,0.53,0.7,0.72,0.81,0.68,0.45,0.61,0.69,0.68
c_0,2.07,2.02,1.34,2.8,1.79,1.7,0.91,0.8,0.56,1.02,0.72,0.83,0.58,0.67,0.52,0.86
d_0,1.32,2.01,2.4,2.27,2.03,1.88,0.91,0.83,0.64,0.58,0.7,0.72,0.54,0.83,0.64,0.68
f_0,1.75,2.66,1.91,2.15,1.96,1.8,0.99,0.62,0.66,0.74,0.55,0.75,0.59,0.83,0.41,0.64
b_0,1.92,1.99,1.78,2.76,2.54,1.81,0.9,0.86,0.47,0.85,0.69,0.54,0.59,0.72,0.58,0.81
h_0,2.1,2.39,2.04,2.2,2.13,1.76,1.14,1.18,0.84,0.81,0.78,0.79,0.76,0.71,0.69,0.73
e_0,2.58,3.23,2.1,2.5,1.83,2.19,0.98,0.98,0.73,0.81,0.52,0.75,0.75,0.53,0.52,0.76
g_0,2.06,2.63,2.51,2.47,2.32,2.12,0.97,1.13,0.91,0.83,0.91,0.86,0.54,0.84,0.71,0.77
a_0,2.28,2.38,2.48,2.44,2.72,2.93,1.19,1.0,0.69,0.96,0.96,0.5,0.67,0.96,0.7,0.53
