,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.42,1.05,0.8,0.87,0.85,0.73,0.36,0.51,0.37,0.34,0.36,0.64,0.26,0.33,0.35,0.3
e_1,0.54,0.41,1.03,0.93,0.92,1.02,0.46,0.53,0.56,0.45,0.47,0.5,0.34,0.47,0.4,0.68
d_1,0.91,0.96,0.39,0.97,0.97,0.76,0.49,0.35,0.6,0.4,0.39,0.34,0.34,0.37,0.22,0.38
c_1,0.86,0.77,0.98,0.38,0.94,0.91,0.48,0.44,0.24,0.51,0.34,0.39,0.33,0.44,0.33,0.37
b_1,0.98,0.78,0.91,0.56,0.36,1.04,0.58,0.52,0.44,0.5,0.65,0.39,0.36,0.37,0.4,0.45
a_1,1.1,0.8,0.94,0.93,0.52,0.31,0.59,0.54,0.43,0.47,0.47,0.43,0.42,0.71,0.34,0.42
h_1,0.92,0.81,0.7,0.72,0.7,0.71,0.25,0.45,0.38,0.34,0.34,0.32,0.4,0.31,0.4,0.37
g_1,0.73,0.82,0.82,0.87,0.8,0.71,0.34,0.23,0.42,0.35,0.35,0.42,0.24,0.35,0.38,0.35
d_0,0.85,0.45,1.16,1.02,0.77,0.79,0.43,0.42,0.25,0.32,0.36,0.32,0.32,0.38,0.37,0.39
c_0,1.04,0.79,0.51,1.14,0.77,0.69,0.38,0.44,0.4,0.25,0.42,0.28,0.34,0.41,0.32,0.38
b_0,0.93,0.67,0.63,1.14,1.28,0.7,0.44,0.43,0.33,0.21,0.24,0.32,0.29,0.4,0.28,0.34
f_0,1.08,0.69,0.77,0.76,0.85,0.77,0.45,0.28,0.38,0.42,0.37,0.22,0.31,0.32,0.22,0.45
h_0,0.84,0.86,0.71,0.78,0.68,0.59,0.56,0.46,0.38,0.29,0.35,0.33,0.36,0.33,0.33,0.28
a_0,0.91,0.77,0.79,0.7,0.94,0.97,0.43,0.39,0.4,0.28,0.23,0.36,0.29,0.2,0.3,0.3
g_0,0.79,0.75,0.84,0.88,0.75,0.78,0.28,0.53,0.38,0.3,0.33,0.34,0.23,0.33,0.35,0.32
e_0,1.12,0.9,0.69,0.82,0.77,0.83,0.39,0.45,0.3,0.27,0.33,0.19,0.32,0.3,0.3,0.19
