,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,1.54,1.45,0.97,1.03,0.85,0.7,1.07,1.19,1.06,1.09,0.91,1.08,0.94,1.17,0.79,1.15
e_1,0.97,1.53,0.87,1.28,1.0,0.78,1.22,1.86,1.12,1.09,1.17,1.16,1.04,1.27,0.98,1.14
d_1,1.16,1.13,1.57,0.83,0.86,0.87,1.25,1.05,0.97,1.8,1.21,1.28,1.09,1.26,1.07,1.11
c_1,1.02,0.87,1.11,1.59,1.48,0.9,1.1,1.09,1.06,0.89,1.17,0.9,1.02,1.19,1.06,1.19
b_1,1.13,0.98,1.05,0.85,1.62,1.46,1.17,1.1,1.07,1.1,1.19,0.9,0.93,1.29,1.06,1.23
a_1,1.28,1.22,1.16,1.07,0.84,1.78,1.41,1.37,1.24,1.37,1.28,1.48,1.15,1.42,1.05,1.22
h_1,1.5,1.28,1.33,1.24,1.15,0.91,1.86,1.36,1.57,1.39,1.4,1.33,1.18,1.37,1.22,1.73
d_0,1.32,1.06,1.21,1.92,1.41,0.95,1.54,1.8,1.36,1.18,1.29,1.45,1.29,1.64,1.34,1.52
g_1,1.27,1.24,1.78,1.22,1.13,0.95,1.41,1.4,1.96,1.48,1.8,1.46,1.37,1.53,1.47,1.47
c_0,1.52,1.35,1.28,1.14,1.09,0.95,1.7,1.49,1.48,1.84,1.53,2.17,1.71,1.74,1.42,1.61
f_0,1.2,1.24,1.41,1.43,1.32,1.11,1.67,1.63,1.42,1.52,1.87,1.63,1.58,1.6,2.32,1.39
b_0,1.4,1.4,1.38,1.38,1.25,0.77,1.67,1.52,1.37,1.44,1.51,1.91,2.37,1.75,1.39,1.52
a_0,1.52,1.39,1.43,1.34,1.36,0.93,1.79,1.67,1.41,1.67,1.55,1.4,1.92,1.93,1.58,1.73
h_0,1.75,1.4,1.47,1.43,1.23,1.05,1.46,1.47,1.62,1.52,1.42,1.54,1.27,1.48,1.39,1.86
e_0,1.49,1.02,1.41,1.61,1.46,1.17,1.65,1.52,1.55,1.55,1.43,1.6,1.48,1.88,1.94,1.55
g_0,1.38,1.34,1.84,1.4,1.19,1.13,1.63,1.54,1.22,1.63,2.35,1.66,1.49,1.61,1.76,1.51
