,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.66,0.86,1.22,1.57,1.37,1.25,0.7,0.64,0.62,0.42,0.59,0.52,0.41,0.44,0.73,0.47
f_1,1.32,0.66,1.21,1.36,1.3,1.12,0.45,0.62,0.43,0.43,0.59,0.45,0.3,0.46,0.36,0.37
d_1,1.76,1.41,0.64,1.24,1.22,1.13,0.58,0.46,0.66,0.52,0.46,0.48,0.39,0.51,0.37,0.25
c_1,1.09,1.35,1.5,0.64,1.79,1.27,0.62,0.51,0.32,0.6,0.44,0.4,0.41,0.48,0.46,0.41
b_1,1.3,1.79,1.38,0.84,0.63,1.6,0.61,0.56,0.57,0.61,0.45,0.66,0.42,0.41,0.53,0.43
a_1,1.72,1.82,1.63,1.77,0.95,0.58,0.78,0.83,0.62,0.59,0.56,0.83,0.51,1.06,0.58,0.45
h_1,1.75,2.28,2.03,1.92,1.97,1.62,0.57,0.91,0.79,0.66,0.64,0.83,0.73,0.62,0.59,0.69
g_1,2.05,2.23,2.24,2.46,2.06,1.84,0.81,0.55,0.74,0.79,0.81,0.74,0.46,0.63,0.66,0.69
d_0,1.38,2.39,3.47,2.7,2.07,1.98,1.07,1.09,0.61,0.71,0.88,0.71,0.62,0.8,0.81,0.78
c_0,2.53,2.39,1.46,3.15,2.25,2.01,1.13,0.97,1.1,0.62,1.03,0.92,0.75,0.84,0.7,0.7
f_0,2.12,3.65,2.34,2.54,2.15,2.16,1.2,0.73,0.92,0.73,0.57,0.83,0.69,0.67,1.11,0.49
b_0,2.29,2.52,1.97,3.06,3.1,1.81,0.95,1.23,0.97,0.5,0.97,0.57,0.7,1.03,0.82,0.65
h_0,2.42,2.71,2.34,2.59,2.47,1.99,1.49,1.31,1.0,0.89,0.86,0.87,0.96,0.95,0.72,0.8
a_0,2.65,2.84,2.28,2.84,3.25,3.18,1.33,1.3,0.95,0.78,0.97,0.53,0.68,0.55,0.92,0.94
e_0,3.9,3.26,2.89,2.97,2.27,2.1,1.22,1.2,1.09,1.08,0.59,0.98,0.94,0.84,0.56,0.63
g_0,2.76,3.29,3.41,2.62,2.51,2.66,0.91,1.58,1.04,1.0,0.98,1.03,0.65,0.73,0.97,0.91
