,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,94.52,71.45,86.23,132.26,181.57,573.74,10103.31,43173.72,27654.81,32008.57,55679.46,84568.12,105495.61,165214.74,153800.4,311209.89
f_1,85.58,108.35,86.75,107.63,140.02,467.01,9094.89,28016.34,24868.79,29858.34,47697.44,50518.96,108759.34,145060.49,128202.14,242290.13
d_1,60.61,71.31,130.96,87.16,131.8,457.95,10811.29,20926.24,22033.95,44361.49,53460.25,63725.12,107833.77,133655.33,164547.22,236371.6
c_1,48.83,62.31,81.09,145.44,222.9,508.03,8934.96,19809.75,20059.73,22127.32,33897.7,56443.29,90887.6,132729.16,154510.77,235185.68
b_1,45.53,59.37,72.69,74.35,207.36,674.81,7768.61,20504.13,18168.7,24127.22,30583.38,50858.94,72423.68,117147.87,142640.08,180777.65
a_1,31.61,43.76,47.78,56.24,77.35,555.31,5929.69,12974.75,13258.56,17041.33,26615.08,35613.82,45238.05,80646.4,89572.36,134151.59
h_1,15.97,21.97,22.15,26.37,39.14,112.46,3277.61,6174.19,6875.64,7165.88,11605.76,15574.5,26566.77,34047.0,43128.86,77998.92
d_0,9.83,12.97,15.13,30.05,33.98,96.82,1769.96,6104.37,4844.96,4367.81,9321.95,12814.7,21252.9,28769.7,30899.26,47518.61
g_1,10.0,12.21,22.2,19.92,30.05,89.09,1868.73,4244.21,6678.85,6378.15,9319.62,17350.05,21330.36,26701.56,37749.5,47078.74
c_0,11.16,13.97,15.58,20.05,23.25,88.74,1939.23,5399.61,4528.96,7203.0,13909.6,12411.22,24308.38,28651.5,31210.17,51282.34
b_0,9.29,12.08,13.78,18.94,25.04,69.05,1811.57,4111.21,4119.92,4455.7,9508.14,10407.14,27875.18,25263.69,27137.19,42996.46
f_0,7.1,9.46,13.78,15.47,26.16,76.12,1487.48,3866.22,3343.63,4394.85,7604.75,12117.38,15726.12,21367.87,39097.94,38673.18
a_0,7.87,8.76,10.28,12.7,19.98,56.17,1226.26,3232.58,2975.68,3558.5,4889.17,8219.32,17876.39,19542.13,20706.79,30470.46
h_0,7.07,9.44,11.86,11.45,17.79,54.43,1037.9,2912.0,3405.1,3490.92,5284.32,7861.29,12360.9,15816.45,19236.88,37683.56
e_0,5.82,8.65,10.28,10.95,16.13,64.7,1098.71,2529.34,2421.73,3386.35,5872.85,6112.99,11670.06,17211.56,23927.33,26697.41
g_0,5.26,6.48,11.4,9.86,16.64,46.84,890.99,2317.37,1986.99,3073.68,4536.14,8165.67,10263.64,13256.05,18858.93,21870.45
